  0%|          | 0/752 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                
{'loss': 1.7646, 'grad_norm': 1.369862675666809, 'learning_rate': 1.997340425531915e-05, 'mean_token_accuracy': 0.6289337873458862, 'epoch': 0.0}
{'loss': 2.585, 'grad_norm': 1.7667673826217651, 'learning_rate': 1.99468085106383e-05, 'mean_token_accuracy': 0.557428240776062, 'epoch': 0.0}
{'loss': 1.8389, 'grad_norm': 1.2131191492080688, 'learning_rate': 1.9920212765957446e-05, 'mean_token_accuracy': 0.6220703125, 'epoch': 0.0}
{'loss': 1.959, 'grad_norm': 1.4439691305160522, 'learning_rate': 1.9893617021276595e-05, 'mean_token_accuracy': 0.6255801916122437, 'epoch': 0.01}
{'loss': 2.3867, 'grad_norm': 1.564265251159668, 'learning_rate': 1.9867021276595745e-05, 'mean_token_accuracy': 0.5613062381744385, 'epoch': 0.01}
{'loss': 1.874, 'grad_norm': 1.3287545442581177, 'learning_rate': 1.9840425531914894e-05, 'mean_token_accuracy': 0.6160672307014465, 'epoch': 0.01}
{'loss': 2.1719, 'grad_norm': 1.456897258758545, 'learning_rate': 1.9813829787234043e-05, 'mean_token_accuracy': 0.5994135141372681, 'epoch': 0.01}
{'loss': 2.1045, 'grad_norm': 1.4086560010910034, 'learning_rate': 1.9787234042553193e-05, 'mean_token_accuracy': 0.6086226105690002, 'epoch': 0.01}
{'loss': 2.0605, 'grad_norm': 1.4048341512680054, 'learning_rate': 1.9760638297872342e-05, 'mean_token_accuracy': 0.6234243512153625, 'epoch': 0.01}
{'loss': 1.7559, 'grad_norm': 1.066618800163269, 'learning_rate': 1.973404255319149e-05, 'mean_token_accuracy': 0.6447709798812866, 'epoch': 0.01}
{'loss': 2.3525, 'grad_norm': 1.615468144416809, 'learning_rate': 1.970744680851064e-05, 'mean_token_accuracy': 0.5676625370979309, 'epoch': 0.01}
{'loss': 2.3438, 'grad_norm': 1.6871495246887207, 'learning_rate': 1.968085106382979e-05, 'mean_token_accuracy': 0.589407742023468, 'epoch': 0.02}
{'loss': 1.627, 'grad_norm': 1.3204585313796997, 'learning_rate': 1.965425531914894e-05, 'mean_token_accuracy': 0.648688793182373, 'epoch': 0.02}
{'loss': 2.8076, 'grad_norm': 2.104252815246582, 'learning_rate': 1.962765957446809e-05, 'mean_token_accuracy': 0.4876404404640198, 'epoch': 0.02}
{'loss': 1.7197, 'grad_norm': 1.3218929767608643, 'learning_rate': 1.9601063829787234e-05, 'mean_token_accuracy': 0.6375545859336853, 'epoch': 0.02}
{'loss': 1.4678, 'grad_norm': 1.0826903581619263, 'learning_rate': 1.9574468085106384e-05, 'mean_token_accuracy': 0.6665230393409729, 'epoch': 0.02}
{'loss': 2.0479, 'grad_norm': 1.4626903533935547, 'learning_rate': 1.9547872340425533e-05, 'mean_token_accuracy': 0.6021264791488647, 'epoch': 0.02}
{'loss': 2.2285, 'grad_norm': 1.7968387603759766, 'learning_rate': 1.9521276595744682e-05, 'mean_token_accuracy': 0.5847240090370178, 'epoch': 0.02}
{'loss': 1.6758, 'grad_norm': 1.3033220767974854, 'learning_rate': 1.949468085106383e-05, 'mean_token_accuracy': 0.6664921641349792, 'epoch': 0.03}
{'loss': 2.2891, 'grad_norm': 1.8543992042541504, 'learning_rate': 1.946808510638298e-05, 'mean_token_accuracy': 0.5758780837059021, 'epoch': 0.03}
{'loss': 1.6963, 'grad_norm': 1.4271676540374756, 'learning_rate': 1.9441489361702127e-05, 'mean_token_accuracy': 0.6545000076293945, 'epoch': 0.03}
{'loss': 1.5068, 'grad_norm': 1.2375253438949585, 'learning_rate': 1.9414893617021276e-05, 'mean_token_accuracy': 0.6515662670135498, 'epoch': 0.03}
{'loss': 1.6221, 'grad_norm': 1.3012107610702515, 'learning_rate': 1.9388297872340425e-05, 'mean_token_accuracy': 0.6591230630874634, 'epoch': 0.03}
{'loss': 2.4424, 'grad_norm': 2.0983266830444336, 'learning_rate': 1.9361702127659575e-05, 'mean_token_accuracy': 0.5857687592506409, 'epoch': 0.03}
{'loss': 2.0967, 'grad_norm': 1.7899470329284668, 'learning_rate': 1.9335106382978724e-05, 'mean_token_accuracy': 0.6153846383094788, 'epoch': 0.03}
{'loss': 1.4209, 'grad_norm': 1.2799067497253418, 'learning_rate': 1.9308510638297873e-05, 'mean_token_accuracy': 0.663812518119812, 'epoch': 0.03}
{'loss': 1.8652, 'grad_norm': 1.5167652368545532, 'learning_rate': 1.9281914893617023e-05, 'mean_token_accuracy': 0.6164524555206299, 'epoch': 0.04}
{'loss': 1.7236, 'grad_norm': 1.4977985620498657, 'learning_rate': 1.9255319148936172e-05, 'mean_token_accuracy': 0.653124988079071, 'epoch': 0.04}
{'loss': 1.6445, 'grad_norm': 3.0833444595336914, 'learning_rate': 1.922872340425532e-05, 'mean_token_accuracy': 0.6633715033531189, 'epoch': 0.04}
{'loss': 1.5342, 'grad_norm': 1.4467791318893433, 'learning_rate': 1.920212765957447e-05, 'mean_token_accuracy': 0.6609420776367188, 'epoch': 0.04}
{'loss': 1.418, 'grad_norm': 1.2995084524154663, 'learning_rate': 1.917553191489362e-05, 'mean_token_accuracy': 0.6788744926452637, 'epoch': 0.04}
{'loss': 1.7256, 'grad_norm': 1.602447748184204, 'learning_rate': 1.914893617021277e-05, 'mean_token_accuracy': 0.6470940709114075, 'epoch': 0.04}
{'loss': 2.1514, 'grad_norm': 2.7485361099243164, 'learning_rate': 1.9122340425531915e-05, 'mean_token_accuracy': 0.6072368621826172, 'epoch': 0.04}
{'loss': 2.373, 'grad_norm': 6.818728446960449, 'learning_rate': 1.9095744680851064e-05, 'mean_token_accuracy': 0.5629921555519104, 'epoch': 0.05}
{'loss': 1.7783, 'grad_norm': 1.773801326751709, 'learning_rate': 1.9069148936170214e-05, 'mean_token_accuracy': 0.6354226469993591, 'epoch': 0.05}
