  0%|          | 0/1504 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                  
{'loss': 1.6394, 'grad_norm': 0.5159555673599243, 'learning_rate': 1.9986702127659576e-05, 'mean_token_accuracy': 0.6763185262680054, 'epoch': 0.0}
{'loss': 1.6494, 'grad_norm': 0.49210068583488464, 'learning_rate': 1.997340425531915e-05, 'mean_token_accuracy': 0.6917562484741211, 'epoch': 0.0}
{'loss': 1.6486, 'grad_norm': 0.663538932800293, 'learning_rate': 1.9960106382978726e-05, 'mean_token_accuracy': 0.6804605722427368, 'epoch': 0.0}
{'loss': 1.6443, 'grad_norm': 0.6485412120819092, 'learning_rate': 1.99468085106383e-05, 'mean_token_accuracy': 0.6848609447479248, 'epoch': 0.01}
{'loss': 1.6875, 'grad_norm': 0.5524013638496399, 'learning_rate': 1.9933510638297875e-05, 'mean_token_accuracy': 0.6806607246398926, 'epoch': 0.01}
{'loss': 1.5794, 'grad_norm': 0.491642564535141, 'learning_rate': 1.9920212765957446e-05, 'mean_token_accuracy': 0.6866281032562256, 'epoch': 0.01}
{'loss': 1.6089, 'grad_norm': 0.6097071170806885, 'learning_rate': 1.990691489361702e-05, 'mean_token_accuracy': 0.6962345838546753, 'epoch': 0.01}
{'loss': 1.6865, 'grad_norm': 0.5236268043518066, 'learning_rate': 1.9893617021276595e-05, 'mean_token_accuracy': 0.6764705777168274, 'epoch': 0.01}
{'loss': 1.6529, 'grad_norm': 0.642638623714447, 'learning_rate': 1.988031914893617e-05, 'mean_token_accuracy': 0.6764187812805176, 'epoch': 0.01}
{'loss': 1.5855, 'grad_norm': 0.4963211119174957, 'learning_rate': 1.9867021276595745e-05, 'mean_token_accuracy': 0.696876049041748, 'epoch': 0.01}
{'loss': 1.6941, 'grad_norm': 0.5834401845932007, 'learning_rate': 1.985372340425532e-05, 'mean_token_accuracy': 0.6794450283050537, 'epoch': 0.01}
{'loss': 1.6458, 'grad_norm': 0.5315253734588623, 'learning_rate': 1.9840425531914894e-05, 'mean_token_accuracy': 0.687846302986145, 'epoch': 0.02}
{'loss': 1.5346, 'grad_norm': 0.520393431186676, 'learning_rate': 1.982712765957447e-05, 'mean_token_accuracy': 0.6880642175674438, 'epoch': 0.02}
{'loss': 1.6574, 'grad_norm': 0.6200074553489685, 'learning_rate': 1.9813829787234043e-05, 'mean_token_accuracy': 0.7002869844436646, 'epoch': 0.02}
{'loss': 1.5997, 'grad_norm': 0.5909107327461243, 'learning_rate': 1.9800531914893618e-05, 'mean_token_accuracy': 0.6949090957641602, 'epoch': 0.02}
{'loss': 1.6144, 'grad_norm': 0.5092802047729492, 'learning_rate': 1.9787234042553193e-05, 'mean_token_accuracy': 0.6629963517189026, 'epoch': 0.02}
{'loss': 1.6207, 'grad_norm': 0.47440847754478455, 'learning_rate': 1.9773936170212767e-05, 'mean_token_accuracy': 0.6832451224327087, 'epoch': 0.02}
{'loss': 1.7072, 'grad_norm': 0.5958656668663025, 'learning_rate': 1.9760638297872342e-05, 'mean_token_accuracy': 0.675656259059906, 'epoch': 0.02}
{'loss': 1.6053, 'grad_norm': 0.5657151341438293, 'learning_rate': 1.9747340425531917e-05, 'mean_token_accuracy': 0.6791552901268005, 'epoch': 0.03}
{'loss': 1.5847, 'grad_norm': 0.5247594118118286, 'learning_rate': 1.973404255319149e-05, 'mean_token_accuracy': 0.7060387134552002, 'epoch': 0.03}
{'loss': 1.6259, 'grad_norm': 0.48222237825393677, 'learning_rate': 1.9720744680851066e-05, 'mean_token_accuracy': 0.6787529587745667, 'epoch': 0.03}
{'loss': 1.4921, 'grad_norm': 0.4505946636199951, 'learning_rate': 1.970744680851064e-05, 'mean_token_accuracy': 0.7073482275009155, 'epoch': 0.03}
{'loss': 1.4422, 'grad_norm': 0.44903764128685, 'learning_rate': 1.9694148936170215e-05, 'mean_token_accuracy': 0.7080874443054199, 'epoch': 0.03}
{'loss': 1.5643, 'grad_norm': 0.5442153215408325, 'learning_rate': 1.968085106382979e-05, 'mean_token_accuracy': 0.7162500023841858, 'epoch': 0.03}
{'loss': 1.5679, 'grad_norm': 0.48749348521232605, 'learning_rate': 1.9667553191489364e-05, 'mean_token_accuracy': 0.7012172341346741, 'epoch': 0.03}
{'loss': 1.6112, 'grad_norm': 0.5276013612747192, 'learning_rate': 1.965425531914894e-05, 'mean_token_accuracy': 0.6794326305389404, 'epoch': 0.03}
{'loss': 1.5556, 'grad_norm': 0.5074646472930908, 'learning_rate': 1.9640957446808514e-05, 'mean_token_accuracy': 0.6932427883148193, 'epoch': 0.04}
{'loss': 1.5392, 'grad_norm': 0.6045421361923218, 'learning_rate': 1.962765957446809e-05, 'mean_token_accuracy': 0.6947747468948364, 'epoch': 0.04}
{'loss': 1.5183, 'grad_norm': 0.5226167440414429, 'learning_rate': 1.9614361702127663e-05, 'mean_token_accuracy': 0.7022927403450012, 'epoch': 0.04}
{'loss': 1.4592, 'grad_norm': 0.4127120077610016, 'learning_rate': 1.9601063829787234e-05, 'mean_token_accuracy': 0.703667938709259, 'epoch': 0.04}
{'loss': 1.5455, 'grad_norm': 0.5233843326568604, 'learning_rate': 1.958776595744681e-05, 'mean_token_accuracy': 0.6705809831619263, 'epoch': 0.04}
{'loss': 1.5198, 'grad_norm': 0.4476904571056366, 'learning_rate': 1.9574468085106384e-05, 'mean_token_accuracy': 0.6863966584205627, 'epoch': 0.04}
{'loss': 1.5451, 'grad_norm': 0.5111381411552429, 'learning_rate': 1.9561170212765958e-05, 'mean_token_accuracy': 0.7076513171195984, 'epoch': 0.04}
{'loss': 1.5561, 'grad_norm': 0.4788673520088196, 'learning_rate': 1.9547872340425533e-05, 'mean_token_accuracy': 0.7189686894416809, 'epoch': 0.05}
{'loss': 1.5534, 'grad_norm': 0.5665203928947449, 'learning_rate': 1.9534574468085108e-05, 'mean_token_accuracy': 0.7071320414543152, 'epoch': 0.05}
{'loss': 1.5358, 'grad_norm': 0.4751393496990204, 'learning_rate': 1.9521276595744682e-05, 'mean_token_accuracy': 0.7040475010871887, 'epoch': 0.05}
{'loss': 1.5353, 'grad_norm': 0.4877522885799408, 'learning_rate': 1.9507978723404257e-05, 'mean_token_accuracy': 0.7060725688934326, 'epoch': 0.05}
{'loss': 1.4975, 'grad_norm': 0.4712103605270386, 'learning_rate': 1.949468085106383e-05, 'mean_token_accuracy': 0.6939597129821777, 'epoch': 0.05}
{'loss': 1.5738, 'grad_norm': 0.7661032676696777, 'learning_rate': 1.9481382978723406e-05, 'mean_token_accuracy': 0.6997663378715515, 'epoch': 0.05}
{'loss': 1.5847, 'grad_norm': 0.5833998322486877, 'learning_rate': 1.946808510638298e-05, 'mean_token_accuracy': 0.6956193447113037, 'epoch': 0.05}
{'loss': 1.4929, 'grad_norm': 0.5005330443382263, 'learning_rate': 1.9454787234042555e-05, 'mean_token_accuracy': 0.7053104043006897, 'epoch': 0.05}
{'loss': 1.4691, 'grad_norm': 0.5391697287559509, 'learning_rate': 1.9441489361702127e-05, 'mean_token_accuracy': 0.7029634714126587, 'epoch': 0.06}
{'loss': 1.5865, 'grad_norm': 0.5410476326942444, 'learning_rate': 1.94281914893617e-05, 'mean_token_accuracy': 0.6866281032562256, 'epoch': 0.06}
{'loss': 1.4748, 'grad_norm': 0.4451061189174652, 'learning_rate': 1.9414893617021276e-05, 'mean_token_accuracy': 0.703868567943573, 'epoch': 0.06}
{'loss': 1.4935, 'grad_norm': 0.47061413526535034, 'learning_rate': 1.940159574468085e-05, 'mean_token_accuracy': 0.7016439437866211, 'epoch': 0.06}
{'loss': 1.5033, 'grad_norm': 0.5441463589668274, 'learning_rate': 1.9388297872340425e-05, 'mean_token_accuracy': 0.7119970321655273, 'epoch': 0.06}
{'loss': 1.4589, 'grad_norm': 0.4972469210624695, 'learning_rate': 1.9375e-05, 'mean_token_accuracy': 0.7253774404525757, 'epoch': 0.06}
{'loss': 1.5073, 'grad_norm': 0.44250306487083435, 'learning_rate': 1.9361702127659575e-05, 'mean_token_accuracy': 0.7019579410552979, 'epoch': 0.06}
{'loss': 1.481, 'grad_norm': 0.5114420652389526, 'learning_rate': 1.934840425531915e-05, 'mean_token_accuracy': 0.7049002051353455, 'epoch': 0.07}
{'loss': 1.5258, 'grad_norm': 0.4603319764137268, 'learning_rate': 1.9335106382978724e-05, 'mean_token_accuracy': 0.6982605457305908, 'epoch': 0.07}
{'loss': 1.5178, 'grad_norm': 0.47051048278808594, 'learning_rate': 1.93218085106383e-05, 'mean_token_accuracy': 0.7010791301727295, 'epoch': 0.07}
{'loss': 1.3874, 'grad_norm': 0.5286644101142883, 'learning_rate': 1.9308510638297873e-05, 'mean_token_accuracy': 0.7308433055877686, 'epoch': 0.07}
{'loss': 1.4593, 'grad_norm': 0.44116613268852234, 'learning_rate': 1.9295212765957448e-05, 'mean_token_accuracy': 0.6974579095840454, 'epoch': 0.07}
{'loss': 1.5016, 'grad_norm': 0.40164560079574585, 'learning_rate': 1.9281914893617023e-05, 'mean_token_accuracy': 0.6753864288330078, 'epoch': 0.07}
{'loss': 1.4684, 'grad_norm': 0.40886634588241577, 'learning_rate': 1.9268617021276597e-05, 'mean_token_accuracy': 0.6957118511199951, 'epoch': 0.07}
{'loss': 1.4182, 'grad_norm': 0.5479972958564758, 'learning_rate': 1.9255319148936172e-05, 'mean_token_accuracy': 0.711708664894104, 'epoch': 0.07}
{'loss': 1.475, 'grad_norm': 0.4427601099014282, 'learning_rate': 1.9242021276595746e-05, 'mean_token_accuracy': 0.6806984543800354, 'epoch': 0.08}
{'loss': 1.5004, 'grad_norm': 0.5095962285995483, 'learning_rate': 1.922872340425532e-05, 'mean_token_accuracy': 0.693148672580719, 'epoch': 0.08}
{'loss': 1.4178, 'grad_norm': 0.48254215717315674, 'learning_rate': 1.9215425531914896e-05, 'mean_token_accuracy': 0.7156515717506409, 'epoch': 0.08}
{'loss': 1.3932, 'grad_norm': 0.45732754468917847, 'learning_rate': 1.920212765957447e-05, 'mean_token_accuracy': 0.7123050093650818, 'epoch': 0.08}
{'loss': 1.449, 'grad_norm': 0.49247419834136963, 'learning_rate': 1.9188829787234045e-05, 'mean_token_accuracy': 0.6964688301086426, 'epoch': 0.08}
{'loss': 1.4587, 'grad_norm': 0.5554852485656738, 'learning_rate': 1.917553191489362e-05, 'mean_token_accuracy': 0.7008962035179138, 'epoch': 0.08}
{'loss': 1.3596, 'grad_norm': 0.5233150720596313, 'learning_rate': 1.9162234042553194e-05, 'mean_token_accuracy': 0.720869243144989, 'epoch': 0.08}
{'loss': 1.4089, 'grad_norm': 0.48447898030281067, 'learning_rate': 1.914893617021277e-05, 'mean_token_accuracy': 0.7141804695129395, 'epoch': 0.09}
{'loss': 1.4076, 'grad_norm': 0.4536777436733246, 'learning_rate': 1.913563829787234e-05, 'mean_token_accuracy': 0.7098916172981262, 'epoch': 0.09}
{'loss': 1.4331, 'grad_norm': 0.4859394431114197, 'learning_rate': 1.9122340425531915e-05, 'mean_token_accuracy': 0.7062457203865051, 'epoch': 0.09}
{'loss': 1.4155, 'grad_norm': 0.4783269464969635, 'learning_rate': 1.910904255319149e-05, 'mean_token_accuracy': 0.7014665007591248, 'epoch': 0.09}
{'loss': 1.3873, 'grad_norm': 0.4996713399887085, 'learning_rate': 1.9095744680851064e-05, 'mean_token_accuracy': 0.7189401984214783, 'epoch': 0.09}
{'loss': 1.4398, 'grad_norm': 0.4888249933719635, 'learning_rate': 1.908244680851064e-05, 'mean_token_accuracy': 0.6934431791305542, 'epoch': 0.09}
{'loss': 1.4332, 'grad_norm': 0.501323938369751, 'learning_rate': 1.9069148936170214e-05, 'mean_token_accuracy': 0.7122697234153748, 'epoch': 0.09}
{'loss': 1.4573, 'grad_norm': 0.558719277381897, 'learning_rate': 1.9055851063829788e-05, 'mean_token_accuracy': 0.6930199265480042, 'epoch': 0.09}
{'loss': 1.3996, 'grad_norm': 0.4888252317905426, 'learning_rate': 1.9042553191489363e-05, 'mean_token_accuracy': 0.7170248031616211, 'epoch': 0.1}
{'loss': 1.3277, 'grad_norm': 0.5228915810585022, 'learning_rate': 1.9029255319148937e-05, 'mean_token_accuracy': 0.7317517995834351, 'epoch': 0.1}
{'loss': 1.4397, 'grad_norm': 0.5437313914299011, 'learning_rate': 1.9015957446808512e-05, 'mean_token_accuracy': 0.6942339539527893, 'epoch': 0.1}
{'loss': 1.3866, 'grad_norm': 0.4776608943939209, 'learning_rate': 1.9002659574468087e-05, 'mean_token_accuracy': 0.7260963320732117, 'epoch': 0.1}
{'loss': 1.4075, 'grad_norm': 0.5414952635765076, 'learning_rate': 1.898936170212766e-05, 'mean_token_accuracy': 0.707848846912384, 'epoch': 0.1}
{'loss': 1.3607, 'grad_norm': 0.5550721883773804, 'learning_rate': 1.8976063829787236e-05, 'mean_token_accuracy': 0.7129360437393188, 'epoch': 0.1}
{'loss': 1.3628, 'grad_norm': 0.598667562007904, 'learning_rate': 1.896276595744681e-05, 'mean_token_accuracy': 0.7131810188293457, 'epoch': 0.1}
{'loss': 1.4047, 'grad_norm': 0.5641389489173889, 'learning_rate': 1.8949468085106385e-05, 'mean_token_accuracy': 0.7106512784957886, 'epoch': 0.11}
{'loss': 1.3392, 'grad_norm': 0.5519477128982544, 'learning_rate': 1.893617021276596e-05, 'mean_token_accuracy': 0.7205986976623535, 'epoch': 0.11}
{'loss': 1.3811, 'grad_norm': 0.5832979679107666, 'learning_rate': 1.8922872340425535e-05, 'mean_token_accuracy': 0.7145270109176636, 'epoch': 0.11}
{'loss': 1.3225, 'grad_norm': 0.6688665151596069, 'learning_rate': 1.890957446808511e-05, 'mean_token_accuracy': 0.7290676236152649, 'epoch': 0.11}
{'loss': 1.3875, 'grad_norm': 0.5795342326164246, 'learning_rate': 1.8896276595744684e-05, 'mean_token_accuracy': 0.7022773027420044, 'epoch': 0.11}
{'loss': 1.3844, 'grad_norm': 0.556205153465271, 'learning_rate': 1.888297872340426e-05, 'mean_token_accuracy': 0.713040292263031, 'epoch': 0.11}
{'loss': 1.3497, 'grad_norm': 0.6257014274597168, 'learning_rate': 1.8869680851063833e-05, 'mean_token_accuracy': 0.723655104637146, 'epoch': 0.11}
{'loss': 1.3296, 'grad_norm': 0.6229736804962158, 'learning_rate': 1.8856382978723408e-05, 'mean_token_accuracy': 0.7230331301689148, 'epoch': 0.11}
{'loss': 1.3016, 'grad_norm': 0.564846396446228, 'learning_rate': 1.8843085106382983e-05, 'mean_token_accuracy': 0.7182866334915161, 'epoch': 0.12}
{'loss': 1.4176, 'grad_norm': 0.6944264769554138, 'learning_rate': 1.8829787234042557e-05, 'mean_token_accuracy': 0.6995515823364258, 'epoch': 0.12}
{'loss': 1.4098, 'grad_norm': 0.6694765686988831, 'learning_rate': 1.881648936170213e-05, 'mean_token_accuracy': 0.7159172296524048, 'epoch': 0.12}
{'loss': 1.2629, 'grad_norm': 0.7539716958999634, 'learning_rate': 1.8803191489361703e-05, 'mean_token_accuracy': 0.7417498230934143, 'epoch': 0.12}
{'loss': 1.2332, 'grad_norm': 0.6962755918502808, 'learning_rate': 1.8789893617021278e-05, 'mean_token_accuracy': 0.7390599846839905, 'epoch': 0.12}
{'loss': 1.3449, 'grad_norm': 0.6898415088653564, 'learning_rate': 1.8776595744680852e-05, 'mean_token_accuracy': 0.7280380725860596, 'epoch': 0.12}
{'loss': 1.242, 'grad_norm': 0.6751102805137634, 'learning_rate': 1.8763297872340427e-05, 'mean_token_accuracy': 0.7426987290382385, 'epoch': 0.12}
{'loss': 1.279, 'grad_norm': 0.6408919095993042, 'learning_rate': 1.8750000000000002e-05, 'mean_token_accuracy': 0.7255762815475464, 'epoch': 0.12}
{'loss': 1.3626, 'grad_norm': 0.6591160893440247, 'learning_rate': 1.8736702127659576e-05, 'mean_token_accuracy': 0.7191300988197327, 'epoch': 0.13}
{'loss': 1.3215, 'grad_norm': 0.6811995506286621, 'learning_rate': 1.872340425531915e-05, 'mean_token_accuracy': 0.7360624074935913, 'epoch': 0.13}
