  0%|          | 0/1504 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                   
{'loss': 2.0887, 'grad_norm': 111.62688446044922, 'learning_rate': 2e-05, 'mean_token_accuracy': 0.5554950833320618, 'epoch': 0.0}
{'loss': 2.2875, 'grad_norm': 371.06219482421875, 'learning_rate': 1.9986702127659576e-05, 'mean_token_accuracy': 0.5557228922843933, 'epoch': 0.0}
{'loss': 1.6425, 'grad_norm': 35.7184944152832, 'learning_rate': 1.997340425531915e-05, 'mean_token_accuracy': 0.6024590134620667, 'epoch': 0.0}
{'loss': 1.5188, 'grad_norm': 77.11247253417969, 'learning_rate': 1.9960106382978726e-05, 'mean_token_accuracy': 0.6304691433906555, 'epoch': 0.01}
{'loss': 1.3822, 'grad_norm': 18.9024715423584, 'learning_rate': 1.99468085106383e-05, 'mean_token_accuracy': 0.6653306484222412, 'epoch': 0.01}
{'loss': 1.1351, 'grad_norm': 14.573622703552246, 'learning_rate': 1.9933510638297875e-05, 'mean_token_accuracy': 0.6718828678131104, 'epoch': 0.01}
{'loss': 1.2151, 'grad_norm': 11.783126831054688, 'learning_rate': 1.9920212765957446e-05, 'mean_token_accuracy': 0.6883194446563721, 'epoch': 0.01}
{'loss': 1.2185, 'grad_norm': 11.619770050048828, 'learning_rate': 1.990691489361702e-05, 'mean_token_accuracy': 0.6773985624313354, 'epoch': 0.01}
{'loss': 1.0438, 'grad_norm': 13.052046775817871, 'learning_rate': 1.9893617021276595e-05, 'mean_token_accuracy': 0.7101616859436035, 'epoch': 0.01}
{'loss': 1.1506, 'grad_norm': 13.02485179901123, 'learning_rate': 1.988031914893617e-05, 'mean_token_accuracy': 0.6802421808242798, 'epoch': 0.01}
{'loss': 0.9188, 'grad_norm': 62.37236022949219, 'learning_rate': 1.9867021276595745e-05, 'mean_token_accuracy': 0.7320302724838257, 'epoch': 0.01}
{'loss': 1.0794, 'grad_norm': 37.3170051574707, 'learning_rate': 1.985372340425532e-05, 'mean_token_accuracy': 0.7097429037094116, 'epoch': 0.02}
{'loss': 1.1797, 'grad_norm': 50.420936584472656, 'learning_rate': 1.9840425531914894e-05, 'mean_token_accuracy': 0.6700698733329773, 'epoch': 0.02}
{'loss': 0.9261, 'grad_norm': 9.626516342163086, 'learning_rate': 1.982712765957447e-05, 'mean_token_accuracy': 0.7256430387496948, 'epoch': 0.02}
{'loss': 1.0625, 'grad_norm': 7.376498222351074, 'learning_rate': 1.9813829787234043e-05, 'mean_token_accuracy': 0.6865396499633789, 'epoch': 0.02}
{'loss': 1.1372, 'grad_norm': 7.172825813293457, 'learning_rate': 1.9800531914893618e-05, 'mean_token_accuracy': 0.7043172717094421, 'epoch': 0.02}
{'loss': 1.0634, 'grad_norm': 10.989211082458496, 'learning_rate': 1.9787234042553193e-05, 'mean_token_accuracy': 0.7060834169387817, 'epoch': 0.02}
{'loss': 1.0038, 'grad_norm': 6.915460586547852, 'learning_rate': 1.9773936170212767e-05, 'mean_token_accuracy': 0.7159400582313538, 'epoch': 0.02}
{'loss': 1.085, 'grad_norm': 8.428750038146973, 'learning_rate': 1.9760638297872342e-05, 'mean_token_accuracy': 0.6977174878120422, 'epoch': 0.03}
{'loss': 0.9964, 'grad_norm': 8.582273483276367, 'learning_rate': 1.9747340425531917e-05, 'mean_token_accuracy': 0.7095870971679688, 'epoch': 0.03}
{'loss': 1.1564, 'grad_norm': 7.156594276428223, 'learning_rate': 1.973404255319149e-05, 'mean_token_accuracy': 0.6678663492202759, 'epoch': 0.03}
{'loss': 1.1308, 'grad_norm': 7.765768051147461, 'learning_rate': 1.9720744680851066e-05, 'mean_token_accuracy': 0.6898124814033508, 'epoch': 0.03}
{'loss': 1.1143, 'grad_norm': 7.485573768615723, 'learning_rate': 1.970744680851064e-05, 'mean_token_accuracy': 0.6834452152252197, 'epoch': 0.03}
{'loss': 0.9518, 'grad_norm': 7.418568134307861, 'learning_rate': 1.9694148936170215e-05, 'mean_token_accuracy': 0.7465277910232544, 'epoch': 0.03}
{'loss': 0.9411, 'grad_norm': 5.768748760223389, 'learning_rate': 1.968085106382979e-05, 'mean_token_accuracy': 0.7224149703979492, 'epoch': 0.03}
{'loss': 1.0271, 'grad_norm': 8.83413314819336, 'learning_rate': 1.9667553191489364e-05, 'mean_token_accuracy': 0.7091562151908875, 'epoch': 0.03}
{'loss': 1.0572, 'grad_norm': 8.094331741333008, 'learning_rate': 1.965425531914894e-05, 'mean_token_accuracy': 0.6951515078544617, 'epoch': 0.04}
{'loss': 1.0248, 'grad_norm': 5.911204814910889, 'learning_rate': 1.9640957446808514e-05, 'mean_token_accuracy': 0.6979987621307373, 'epoch': 0.04}
{'loss': 1.0813, 'grad_norm': 7.372902870178223, 'learning_rate': 1.962765957446809e-05, 'mean_token_accuracy': 0.691870391368866, 'epoch': 0.04}
{'loss': 1.182, 'grad_norm': 13.719642639160156, 'learning_rate': 1.9614361702127663e-05, 'mean_token_accuracy': 0.6812289953231812, 'epoch': 0.04}
{'loss': 0.9983, 'grad_norm': 6.240483283996582, 'learning_rate': 1.9601063829787234e-05, 'mean_token_accuracy': 0.7277200818061829, 'epoch': 0.04}
{'loss': 0.9101, 'grad_norm': 4.9367289543151855, 'learning_rate': 1.958776595744681e-05, 'mean_token_accuracy': 0.7329411506652832, 'epoch': 0.04}
{'loss': 0.925, 'grad_norm': 13.107940673828125, 'learning_rate': 1.9574468085106384e-05, 'mean_token_accuracy': 0.7414750456809998, 'epoch': 0.04}
{'loss': 0.7648, 'grad_norm': 5.988203048706055, 'learning_rate': 1.9561170212765958e-05, 'mean_token_accuracy': 0.769565224647522, 'epoch': 0.05}
{'loss': 1.0433, 'grad_norm': 9.383143424987793, 'learning_rate': 1.9547872340425533e-05, 'mean_token_accuracy': 0.6876932382583618, 'epoch': 0.05}
{'loss': 0.9567, 'grad_norm': 10.824466705322266, 'learning_rate': 1.9534574468085108e-05, 'mean_token_accuracy': 0.7136273980140686, 'epoch': 0.05}
{'loss': 0.8225, 'grad_norm': 24.098543167114258, 'learning_rate': 1.9521276595744682e-05, 'mean_token_accuracy': 0.7482731938362122, 'epoch': 0.05}
{'loss': 1.1524, 'grad_norm': 6.73432731628418, 'learning_rate': 1.9507978723404257e-05, 'mean_token_accuracy': 0.6892837882041931, 'epoch': 0.05}
{'loss': 0.8089, 'grad_norm': 10.267484664916992, 'learning_rate': 1.949468085106383e-05, 'mean_token_accuracy': 0.7453271150588989, 'epoch': 0.05}
{'loss': 0.9638, 'grad_norm': 7.847888469696045, 'learning_rate': 1.9481382978723406e-05, 'mean_token_accuracy': 0.7086137533187866, 'epoch': 0.05}
{'loss': 0.9496, 'grad_norm': 11.128891944885254, 'learning_rate': 1.946808510638298e-05, 'mean_token_accuracy': 0.7283638715744019, 'epoch': 0.05}
{'loss': 0.9903, 'grad_norm': 5.916432857513428, 'learning_rate': 1.9454787234042555e-05, 'mean_token_accuracy': 0.7230215668678284, 'epoch': 0.06}
{'loss': 0.9788, 'grad_norm': 6.938194751739502, 'learning_rate': 1.9441489361702127e-05, 'mean_token_accuracy': 0.7149321436882019, 'epoch': 0.06}
{'loss': 1.147, 'grad_norm': 6.997054576873779, 'learning_rate': 1.94281914893617e-05, 'mean_token_accuracy': 0.6848121881484985, 'epoch': 0.06}
{'loss': 0.8658, 'grad_norm': 7.85260534286499, 'learning_rate': 1.9414893617021276e-05, 'mean_token_accuracy': 0.7655654549598694, 'epoch': 0.06}
{'loss': 0.9741, 'grad_norm': 8.134344100952148, 'learning_rate': 1.940159574468085e-05, 'mean_token_accuracy': 0.7151162624359131, 'epoch': 0.06}
{'loss': 0.9092, 'grad_norm': 7.900112152099609, 'learning_rate': 1.9388297872340425e-05, 'mean_token_accuracy': 0.7292545437812805, 'epoch': 0.06}
{'loss': 0.9711, 'grad_norm': 5.722503662109375, 'learning_rate': 1.9375e-05, 'mean_token_accuracy': 0.7340644001960754, 'epoch': 0.06}
{'loss': 1.1301, 'grad_norm': 7.055481433868408, 'learning_rate': 1.9361702127659575e-05, 'mean_token_accuracy': 0.6888663172721863, 'epoch': 0.07}
{'loss': 0.9765, 'grad_norm': 5.5044331550598145, 'learning_rate': 1.934840425531915e-05, 'mean_token_accuracy': 0.7161716222763062, 'epoch': 0.07}
{'loss': 0.9737, 'grad_norm': 5.667495250701904, 'learning_rate': 1.9335106382978724e-05, 'mean_token_accuracy': 0.6992481350898743, 'epoch': 0.07}
{'loss': 0.904, 'grad_norm': 6.212996006011963, 'learning_rate': 1.93218085106383e-05, 'mean_token_accuracy': 0.7234323620796204, 'epoch': 0.07}
{'loss': 0.9937, 'grad_norm': 5.995916366577148, 'learning_rate': 1.9308510638297873e-05, 'mean_token_accuracy': 0.7033523321151733, 'epoch': 0.07}
{'loss': 1.0587, 'grad_norm': 5.617391586303711, 'learning_rate': 1.9295212765957448e-05, 'mean_token_accuracy': 0.7000566124916077, 'epoch': 0.07}
{'loss': 1.0589, 'grad_norm': 5.747412204742432, 'learning_rate': 1.9281914893617023e-05, 'mean_token_accuracy': 0.6970633864402771, 'epoch': 0.07}
{'loss': 0.9954, 'grad_norm': 7.969125270843506, 'learning_rate': 1.9268617021276597e-05, 'mean_token_accuracy': 0.7230685353279114, 'epoch': 0.07}
{'loss': 1.13, 'grad_norm': 7.5567545890808105, 'learning_rate': 1.9255319148936172e-05, 'mean_token_accuracy': 0.6885330677032471, 'epoch': 0.08}
{'loss': 1.0496, 'grad_norm': 10.029179573059082, 'learning_rate': 1.9242021276595746e-05, 'mean_token_accuracy': 0.695276141166687, 'epoch': 0.08}
{'loss': 0.9272, 'grad_norm': 4.9603753089904785, 'learning_rate': 1.922872340425532e-05, 'mean_token_accuracy': 0.7132822275161743, 'epoch': 0.08}
{'loss': 1.0216, 'grad_norm': 5.255037784576416, 'learning_rate': 1.9215425531914896e-05, 'mean_token_accuracy': 0.7055144906044006, 'epoch': 0.08}
{'loss': 1.0842, 'grad_norm': 6.003679275512695, 'learning_rate': 1.920212765957447e-05, 'mean_token_accuracy': 0.6838977932929993, 'epoch': 0.08}
{'loss': 0.8907, 'grad_norm': 5.701743125915527, 'learning_rate': 1.9188829787234045e-05, 'mean_token_accuracy': 0.7457249164581299, 'epoch': 0.08}
{'loss': 0.9739, 'grad_norm': 6.823754787445068, 'learning_rate': 1.917553191489362e-05, 'mean_token_accuracy': 0.7097902297973633, 'epoch': 0.08}
{'loss': 0.9918, 'grad_norm': 6.350180625915527, 'learning_rate': 1.9162234042553194e-05, 'mean_token_accuracy': 0.6978672742843628, 'epoch': 0.09}
{'loss': 1.0673, 'grad_norm': 6.753296375274658, 'learning_rate': 1.914893617021277e-05, 'mean_token_accuracy': 0.6987681984901428, 'epoch': 0.09}
{'loss': 0.8761, 'grad_norm': 5.810464382171631, 'learning_rate': 1.913563829787234e-05, 'mean_token_accuracy': 0.7305135726928711, 'epoch': 0.09}
{'loss': 1.077, 'grad_norm': 7.860281467437744, 'learning_rate': 1.9122340425531915e-05, 'mean_token_accuracy': 0.7016759514808655, 'epoch': 0.09}
{'loss': 0.888, 'grad_norm': 9.5803804397583, 'learning_rate': 1.910904255319149e-05, 'mean_token_accuracy': 0.718768835067749, 'epoch': 0.09}
{'loss': 0.9571, 'grad_norm': 10.071588516235352, 'learning_rate': 1.9095744680851064e-05, 'mean_token_accuracy': 0.7230662703514099, 'epoch': 0.09}
{'loss': 0.9476, 'grad_norm': 8.149413108825684, 'learning_rate': 1.908244680851064e-05, 'mean_token_accuracy': 0.7251420617103577, 'epoch': 0.09}
{'loss': 1.0846, 'grad_norm': 6.280793190002441, 'learning_rate': 1.9069148936170214e-05, 'mean_token_accuracy': 0.6965557932853699, 'epoch': 0.09}
{'loss': 1.0947, 'grad_norm': 5.7342939376831055, 'learning_rate': 1.9055851063829788e-05, 'mean_token_accuracy': 0.6837284564971924, 'epoch': 0.1}
{'loss': 1.0354, 'grad_norm': 6.185115337371826, 'learning_rate': 1.9042553191489363e-05, 'mean_token_accuracy': 0.7010935544967651, 'epoch': 0.1}
{'loss': 1.0575, 'grad_norm': 6.790691375732422, 'learning_rate': 1.9029255319148937e-05, 'mean_token_accuracy': 0.7192884683609009, 'epoch': 0.1}
{'loss': 0.8875, 'grad_norm': 6.993621349334717, 'learning_rate': 1.9015957446808512e-05, 'mean_token_accuracy': 0.7310924530029297, 'epoch': 0.1}
{'loss': 1.1224, 'grad_norm': 4.884397029876709, 'learning_rate': 1.9002659574468087e-05, 'mean_token_accuracy': 0.6860841512680054, 'epoch': 0.1}
{'loss': 0.9579, 'grad_norm': 8.150169372558594, 'learning_rate': 1.898936170212766e-05, 'mean_token_accuracy': 0.7284403443336487, 'epoch': 0.1}
{'loss': 0.8008, 'grad_norm': 5.54027795791626, 'learning_rate': 1.8976063829787236e-05, 'mean_token_accuracy': 0.7591195106506348, 'epoch': 0.1}
{'loss': 1.0127, 'grad_norm': 8.424836158752441, 'learning_rate': 1.896276595744681e-05, 'mean_token_accuracy': 0.714039146900177, 'epoch': 0.11}
{'loss': 1.0552, 'grad_norm': 4.914947986602783, 'learning_rate': 1.8949468085106385e-05, 'mean_token_accuracy': 0.6967741847038269, 'epoch': 0.11}
{'loss': 0.8677, 'grad_norm': 8.054280281066895, 'learning_rate': 1.893617021276596e-05, 'mean_token_accuracy': 0.7494279146194458, 'epoch': 0.11}
{'loss': 0.8977, 'grad_norm': 9.065863609313965, 'learning_rate': 1.8922872340425535e-05, 'mean_token_accuracy': 0.7252897024154663, 'epoch': 0.11}
{'loss': 0.9606, 'grad_norm': 18.41168975830078, 'learning_rate': 1.890957446808511e-05, 'mean_token_accuracy': 0.7188029289245605, 'epoch': 0.11}
{'loss': 0.9278, 'grad_norm': 6.861015796661377, 'learning_rate': 1.8896276595744684e-05, 'mean_token_accuracy': 0.7215551733970642, 'epoch': 0.11}
{'loss': 0.7782, 'grad_norm': 5.804249286651611, 'learning_rate': 1.888297872340426e-05, 'mean_token_accuracy': 0.7761628031730652, 'epoch': 0.11}
{'loss': 0.9308, 'grad_norm': 13.34997844696045, 'learning_rate': 1.8869680851063833e-05, 'mean_token_accuracy': 0.719288170337677, 'epoch': 0.11}
{'loss': 1.0305, 'grad_norm': 5.492630481719971, 'learning_rate': 1.8856382978723408e-05, 'mean_token_accuracy': 0.7154768109321594, 'epoch': 0.12}
{'loss': 0.8095, 'grad_norm': 6.543994903564453, 'learning_rate': 1.8843085106382983e-05, 'mean_token_accuracy': 0.7670807242393494, 'epoch': 0.12}
{'loss': 0.8881, 'grad_norm': 5.481929779052734, 'learning_rate': 1.8829787234042557e-05, 'mean_token_accuracy': 0.7293546199798584, 'epoch': 0.12}
{'loss': 1.0056, 'grad_norm': 6.2228684425354, 'learning_rate': 1.881648936170213e-05, 'mean_token_accuracy': 0.696601927280426, 'epoch': 0.12}
{'loss': 0.9547, 'grad_norm': 5.033380508422852, 'learning_rate': 1.8803191489361703e-05, 'mean_token_accuracy': 0.7363420724868774, 'epoch': 0.12}
{'loss': 0.9144, 'grad_norm': 6.851094722747803, 'learning_rate': 1.8789893617021278e-05, 'mean_token_accuracy': 0.7248227000236511, 'epoch': 0.12}
