                                                    
{'loss': 1.5767, 'grad_norm': 4.18292236328125, 'learning_rate': 1.9920212765957446e-05, 'mean_token_accuracy': 0.609108817577362, 'epoch': 0.01}
{'loss': 1.4066, 'grad_norm': 3.6996147632598877, 'learning_rate': 1.9831560283687945e-05, 'mean_token_accuracy': 0.6328884363174438, 'epoch': 0.03}
{'loss': 1.3036, 'grad_norm': 2.797802209854126, 'learning_rate': 1.974290780141844e-05, 'mean_token_accuracy': 0.655654889345169, 'epoch': 0.04}
{'loss': 1.2383, 'grad_norm': 2.6619935035705566, 'learning_rate': 1.965425531914894e-05, 'mean_token_accuracy': 0.6654200196266175, 'epoch': 0.05}
{'loss': 1.2193, 'grad_norm': 2.9939451217651367, 'learning_rate': 1.9565602836879435e-05, 'mean_token_accuracy': 0.6561790466308594, 'epoch': 0.07}
{'loss': 1.2662, 'grad_norm': 2.561447858810425, 'learning_rate': 1.947695035460993e-05, 'mean_token_accuracy': 0.6552456915378571, 'epoch': 0.08}
{'loss': 1.2002, 'grad_norm': 3.363619565963745, 'learning_rate': 1.9388297872340425e-05, 'mean_token_accuracy': 0.6681488394737244, 'epoch': 0.09}
{'loss': 1.2218, 'grad_norm': 2.670323610305786, 'learning_rate': 1.9299645390070924e-05, 'mean_token_accuracy': 0.6668422996997834, 'epoch': 0.11}
{'loss': 1.1701, 'grad_norm': 2.904057264328003, 'learning_rate': 1.921099290780142e-05, 'mean_token_accuracy': 0.675793731212616, 'epoch': 0.12}
{'loss': 1.1364, 'grad_norm': 2.8762729167938232, 'learning_rate': 1.9122340425531915e-05, 'mean_token_accuracy': 0.6827556490898132, 'epoch': 0.13}
{'loss': 1.1735, 'grad_norm': 2.5189285278320312, 'learning_rate': 1.9033687943262414e-05, 'mean_token_accuracy': 0.679516327381134, 'epoch': 0.15}
{'loss': 1.1044, 'grad_norm': 3.051811933517456, 'learning_rate': 1.894503546099291e-05, 'mean_token_accuracy': 0.6828992605209351, 'epoch': 0.16}
{'loss': 1.1551, 'grad_norm': 3.257340908050537, 'learning_rate': 1.8856382978723408e-05, 'mean_token_accuracy': 0.6796099066734314, 'epoch': 0.17}
{'loss': 1.117, 'grad_norm': 3.0228090286254883, 'learning_rate': 1.8767730496453903e-05, 'mean_token_accuracy': 0.6831680119037629, 'epoch': 0.19}
{'loss': 1.1049, 'grad_norm': 3.152637004852295, 'learning_rate': 1.86790780141844e-05, 'mean_token_accuracy': 0.6940386950969696, 'epoch': 0.2}
{'loss': 1.1688, 'grad_norm': 2.489546775817871, 'learning_rate': 1.8590425531914894e-05, 'mean_token_accuracy': 0.6761159062385559, 'epoch': 0.21}
{'loss': 1.0857, 'grad_norm': 3.099774122238159, 'learning_rate': 1.850177304964539e-05, 'mean_token_accuracy': 0.6951779246330261, 'epoch': 0.23}
{'loss': 1.0543, 'grad_norm': 2.6837430000305176, 'learning_rate': 1.841312056737589e-05, 'mean_token_accuracy': 0.6995917558670044, 'epoch': 0.24}
{'loss': 1.0024, 'grad_norm': 2.512655019760132, 'learning_rate': 1.8324468085106384e-05, 'mean_token_accuracy': 0.7113076627254487, 'epoch': 0.25}
{'loss': 1.0887, 'grad_norm': 2.845578193664551, 'learning_rate': 1.8235815602836883e-05, 'mean_token_accuracy': 0.6881689488887787, 'epoch': 0.27}
{'loss': 1.0744, 'grad_norm': 2.9758901596069336, 'learning_rate': 1.8147163120567378e-05, 'mean_token_accuracy': 0.693326199054718, 'epoch': 0.28}
{'loss': 1.0365, 'grad_norm': 2.8555073738098145, 'learning_rate': 1.8058510638297873e-05, 'mean_token_accuracy': 0.6996934413909912, 'epoch': 0.29}
{'loss': 1.0673, 'grad_norm': 2.7209677696228027, 'learning_rate': 1.796985815602837e-05, 'mean_token_accuracy': 0.6954046547412872, 'epoch': 0.31}
{'loss': 1.0392, 'grad_norm': 2.8524515628814697, 'learning_rate': 1.7881205673758864e-05, 'mean_token_accuracy': 0.7020342350006104, 'epoch': 0.32}
{'loss': 0.9994, 'grad_norm': 2.6994447708129883, 'learning_rate': 1.7792553191489363e-05, 'mean_token_accuracy': 0.7100714325904847, 'epoch': 0.33}
{'loss': 1.0564, 'grad_norm': 2.6747488975524902, 'learning_rate': 1.770390070921986e-05, 'mean_token_accuracy': 0.6962541699409485, 'epoch': 0.35}
{'loss': 0.9522, 'grad_norm': 2.4262068271636963, 'learning_rate': 1.7615248226950357e-05, 'mean_token_accuracy': 0.7212288200855255, 'epoch': 0.36}
{'loss': 1.0252, 'grad_norm': 2.6682403087615967, 'learning_rate': 1.7526595744680853e-05, 'mean_token_accuracy': 0.6981318414211273, 'epoch': 0.37}
{'loss': 0.9915, 'grad_norm': 2.2641067504882812, 'learning_rate': 1.743794326241135e-05, 'mean_token_accuracy': 0.7113630294799804, 'epoch': 0.39}
{'loss': 1.0312, 'grad_norm': 2.9870035648345947, 'learning_rate': 1.7349290780141847e-05, 'mean_token_accuracy': 0.7152035057544708, 'epoch': 0.4}
{'loss': 0.9973, 'grad_norm': 2.3903627395629883, 'learning_rate': 1.7260638297872342e-05, 'mean_token_accuracy': 0.7078368961811066, 'epoch': 0.41}
{'loss': 1.0555, 'grad_norm': 2.828162908554077, 'learning_rate': 1.7171985815602838e-05, 'mean_token_accuracy': 0.699494606256485, 'epoch': 0.43}
{'loss': 0.9514, 'grad_norm': 3.44547438621521, 'learning_rate': 1.7083333333333333e-05, 'mean_token_accuracy': 0.722222775220871, 'epoch': 0.44}
{'loss': 0.9802, 'grad_norm': 2.9806315898895264, 'learning_rate': 1.6994680851063832e-05, 'mean_token_accuracy': 0.7161363661289215, 'epoch': 0.45}
{'loss': 1.0381, 'grad_norm': 3.1691465377807617, 'learning_rate': 1.6906028368794327e-05, 'mean_token_accuracy': 0.7011236071586608, 'epoch': 0.47}
{'loss': 0.9653, 'grad_norm': 2.3559529781341553, 'learning_rate': 1.6817375886524826e-05, 'mean_token_accuracy': 0.7253764033317566, 'epoch': 0.48}
{'loss': 0.956, 'grad_norm': 2.6188528537750244, 'learning_rate': 1.672872340425532e-05, 'mean_token_accuracy': 0.7161956131458282, 'epoch': 0.49}
{'loss': 0.9249, 'grad_norm': 3.059507131576538, 'learning_rate': 1.6640070921985817e-05, 'mean_token_accuracy': 0.7290730774402618, 'epoch': 0.51}
{'loss': 0.9616, 'grad_norm': 2.7570905685424805, 'learning_rate': 1.6551418439716312e-05, 'mean_token_accuracy': 0.7226067125797272, 'epoch': 0.52}
{'loss': 0.9182, 'grad_norm': 2.897210121154785, 'learning_rate': 1.6462765957446808e-05, 'mean_token_accuracy': 0.7355744302272796, 'epoch': 0.53}
{'loss': 1.0131, 'grad_norm': 2.510481595993042, 'learning_rate': 1.6374113475177306e-05, 'mean_token_accuracy': 0.7053954660892486, 'epoch': 0.55}
{'loss': 0.9477, 'grad_norm': 2.9122865200042725, 'learning_rate': 1.6285460992907802e-05, 'mean_token_accuracy': 0.7209397733211518, 'epoch': 0.56}
{'loss': 0.9369, 'grad_norm': 2.476752758026123, 'learning_rate': 1.61968085106383e-05, 'mean_token_accuracy': 0.7328454256057739, 'epoch': 0.57}
{'loss': 0.9603, 'grad_norm': 2.63724946975708, 'learning_rate': 1.6108156028368796e-05, 'mean_token_accuracy': 0.7252630770206452, 'epoch': 0.59}
{'loss': 0.9541, 'grad_norm': 2.3851640224456787, 'learning_rate': 1.6019503546099295e-05, 'mean_token_accuracy': 0.7213852405548096, 'epoch': 0.6}
{'loss': 0.9292, 'grad_norm': 3.074178457260132, 'learning_rate': 1.593085106382979e-05, 'mean_token_accuracy': 0.7278178751468658, 'epoch': 0.61}
{'loss': 0.883, 'grad_norm': 2.8315775394439697, 'learning_rate': 1.5842198581560286e-05, 'mean_token_accuracy': 0.7487300634384155, 'epoch': 0.62}
{'loss': 0.9519, 'grad_norm': 2.726529121398926, 'learning_rate': 1.575354609929078e-05, 'mean_token_accuracy': 0.7288793325424194, 'epoch': 0.64}
{'loss': 0.9581, 'grad_norm': 2.8144726753234863, 'learning_rate': 1.5664893617021276e-05, 'mean_token_accuracy': 0.7181481957435608, 'epoch': 0.65}
{'loss': 0.8941, 'grad_norm': 2.9242303371429443, 'learning_rate': 1.5576241134751775e-05, 'mean_token_accuracy': 0.7342333912849426, 'epoch': 0.66}
{'loss': 0.9464, 'grad_norm': 2.398995876312256, 'learning_rate': 1.548758865248227e-05, 'mean_token_accuracy': 0.7191556394100189, 'epoch': 0.68}
{'loss': 0.8974, 'grad_norm': 2.4944040775299072, 'learning_rate': 1.539893617021277e-05, 'mean_token_accuracy': 0.7370616912841796, 'epoch': 0.69}
{'loss': 0.8662, 'grad_norm': 2.6370487213134766, 'learning_rate': 1.5310283687943265e-05, 'mean_token_accuracy': 0.748184472322464, 'epoch': 0.7}
