  0%|          | 0/2256 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                     
{'loss': 1.6091, 'grad_norm': 19.139448165893555, 'learning_rate': 1.9920212765957446e-05, 'mean_token_accuracy': 0.611122852563858, 'epoch': 0.01}
{'loss': 1.5224, 'grad_norm': 17.938695907592773, 'learning_rate': 1.9831560283687945e-05, 'mean_token_accuracy': 0.6155144393444061, 'epoch': 0.03}
{'loss': 1.5066, 'grad_norm': 14.63055419921875, 'learning_rate': 1.974290780141844e-05, 'mean_token_accuracy': 0.6202437818050385, 'epoch': 0.04}
{'loss': 1.5322, 'grad_norm': 14.223530769348145, 'learning_rate': 1.965425531914894e-05, 'mean_token_accuracy': 0.6161937415599823, 'epoch': 0.05}
{'loss': 1.5992, 'grad_norm': 14.029669761657715, 'learning_rate': 1.9565602836879435e-05, 'mean_token_accuracy': 0.6087522566318512, 'epoch': 0.07}
{'loss': 1.5277, 'grad_norm': 15.055092811584473, 'learning_rate': 1.947695035460993e-05, 'mean_token_accuracy': 0.6179653286933899, 'epoch': 0.08}
{'loss': 1.4226, 'grad_norm': 16.353229522705078, 'learning_rate': 1.9388297872340425e-05, 'mean_token_accuracy': 0.6441412210464478, 'epoch': 0.09}
{'loss': 1.5088, 'grad_norm': 15.107245445251465, 'learning_rate': 1.9299645390070924e-05, 'mean_token_accuracy': 0.6246795654296875, 'epoch': 0.11}
{'loss': 1.403, 'grad_norm': 14.672252655029297, 'learning_rate': 1.921099290780142e-05, 'mean_token_accuracy': 0.6460721731185913, 'epoch': 0.12}
{'loss': 1.4911, 'grad_norm': 13.09817886352539, 'learning_rate': 1.9122340425531915e-05, 'mean_token_accuracy': 0.6325056791305542, 'epoch': 0.13}
{'loss': 1.3799, 'grad_norm': 12.243184089660645, 'learning_rate': 1.9033687943262414e-05, 'mean_token_accuracy': 0.6507173001766204, 'epoch': 0.15}
{'loss': 1.4245, 'grad_norm': 11.242366790771484, 'learning_rate': 1.894503546099291e-05, 'mean_token_accuracy': 0.6464563846588135, 'epoch': 0.16}
{'loss': 1.4718, 'grad_norm': 20.752544403076172, 'learning_rate': 1.8856382978723408e-05, 'mean_token_accuracy': 0.6334161460399628, 'epoch': 0.17}
{'loss': 1.4584, 'grad_norm': 13.457697868347168, 'learning_rate': 1.8767730496453903e-05, 'mean_token_accuracy': 0.6404450118541718, 'epoch': 0.19}
{'loss': 1.4385, 'grad_norm': 11.811196327209473, 'learning_rate': 1.86790780141844e-05, 'mean_token_accuracy': 0.641409569978714, 'epoch': 0.2}
{'loss': 1.389, 'grad_norm': 19.55331802368164, 'learning_rate': 1.8590425531914894e-05, 'mean_token_accuracy': 0.6504057765007019, 'epoch': 0.21}
{'loss': 1.4176, 'grad_norm': 14.69233226776123, 'learning_rate': 1.850177304964539e-05, 'mean_token_accuracy': 0.6426242351531982, 'epoch': 0.23}
{'loss': 1.2756, 'grad_norm': 15.126495361328125, 'learning_rate': 1.841312056737589e-05, 'mean_token_accuracy': 0.6769626080989838, 'epoch': 0.24}
{'loss': 1.3537, 'grad_norm': 23.635269165039062, 'learning_rate': 1.8324468085106384e-05, 'mean_token_accuracy': 0.6605340719223023, 'epoch': 0.25}
