  0%|          | 0/2256 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                     
{'loss': 1.5347, 'grad_norm': 17.94380760192871, 'learning_rate': 1.9911347517730497e-05, 'mean_token_accuracy': 0.626165121793747, 'epoch': 0.01}
{'loss': 1.4621, 'grad_norm': 14.568933486938477, 'learning_rate': 1.9822695035460996e-05, 'mean_token_accuracy': 0.6320775508880615, 'epoch': 0.03}
{'loss': 1.5197, 'grad_norm': 18.639131546020508, 'learning_rate': 1.973404255319149e-05, 'mean_token_accuracy': 0.6152052879333496, 'epoch': 0.04}
{'loss': 1.4972, 'grad_norm': 11.837881088256836, 'learning_rate': 1.9645390070921987e-05, 'mean_token_accuracy': 0.627075707912445, 'epoch': 0.05}
{'loss': 1.4194, 'grad_norm': 15.554869651794434, 'learning_rate': 1.9556737588652482e-05, 'mean_token_accuracy': 0.6408105671405793, 'epoch': 0.07}
{'loss': 1.5037, 'grad_norm': 12.851590156555176, 'learning_rate': 1.946808510638298e-05, 'mean_token_accuracy': 0.6181696832180024, 'epoch': 0.08}
{'loss': 1.4831, 'grad_norm': 15.682816505432129, 'learning_rate': 1.9379432624113476e-05, 'mean_token_accuracy': 0.6270032942295074, 'epoch': 0.09}
{'loss': 1.4857, 'grad_norm': 11.935173034667969, 'learning_rate': 1.929078014184397e-05, 'mean_token_accuracy': 0.6281858503818512, 'epoch': 0.11}
{'loss': 1.3989, 'grad_norm': 12.1119966506958, 'learning_rate': 1.920212765957447e-05, 'mean_token_accuracy': 0.6461848497390748, 'epoch': 0.12}
{'loss': 1.4185, 'grad_norm': 12.01812744140625, 'learning_rate': 1.9113475177304966e-05, 'mean_token_accuracy': 0.644447249174118, 'epoch': 0.13}
{'loss': 1.4098, 'grad_norm': 11.93985366821289, 'learning_rate': 1.9024822695035465e-05, 'mean_token_accuracy': 0.6407070398330689, 'epoch': 0.15}
{'loss': 1.3859, 'grad_norm': 15.079662322998047, 'learning_rate': 1.893617021276596e-05, 'mean_token_accuracy': 0.6542620420455932, 'epoch': 0.16}
{'loss': 1.3713, 'grad_norm': 12.872271537780762, 'learning_rate': 1.8847517730496455e-05, 'mean_token_accuracy': 0.6593706965446472, 'epoch': 0.17}
{'loss': 1.2811, 'grad_norm': 14.430428504943848, 'learning_rate': 1.875886524822695e-05, 'mean_token_accuracy': 0.6707822799682617, 'epoch': 0.19}
{'loss': 1.4662, 'grad_norm': 786.3505249023438, 'learning_rate': 1.8670212765957446e-05, 'mean_token_accuracy': 0.647656786441803, 'epoch': 0.2}
{'loss': 1.4157, 'grad_norm': 9.772156715393066, 'learning_rate': 1.8581560283687945e-05, 'mean_token_accuracy': 0.6475547909736633, 'epoch': 0.21}
{'loss': 1.3231, 'grad_norm': 12.295327186584473, 'learning_rate': 1.849290780141844e-05, 'mean_token_accuracy': 0.664321631193161, 'epoch': 0.23}
{'loss': 1.334, 'grad_norm': 10.700613021850586, 'learning_rate': 1.840425531914894e-05, 'mean_token_accuracy': 0.6655066013336182, 'epoch': 0.24}
{'loss': 1.3925, 'grad_norm': 14.774965286254883, 'learning_rate': 1.8315602836879435e-05, 'mean_token_accuracy': 0.6532555401325226, 'epoch': 0.25}
{'loss': 1.3526, 'grad_norm': 12.060333251953125, 'learning_rate': 1.822695035460993e-05, 'mean_token_accuracy': 0.652451890707016, 'epoch': 0.27}
{'loss': 1.3336, 'grad_norm': 9.926102638244629, 'learning_rate': 1.8138297872340425e-05, 'mean_token_accuracy': 0.6675653398036957, 'epoch': 0.28}
{'loss': 1.2796, 'grad_norm': 10.341089248657227, 'learning_rate': 1.8049645390070924e-05, 'mean_token_accuracy': 0.6765894591808319, 'epoch': 0.29}
{'loss': 1.2447, 'grad_norm': 10.303449630737305, 'learning_rate': 1.796099290780142e-05, 'mean_token_accuracy': 0.6809147477149964, 'epoch': 0.31}
{'loss': 1.3378, 'grad_norm': 12.173068046569824, 'learning_rate': 1.7872340425531915e-05, 'mean_token_accuracy': 0.6617939651012421, 'epoch': 0.32}
{'loss': 1.2913, 'grad_norm': 9.625397682189941, 'learning_rate': 1.7783687943262414e-05, 'mean_token_accuracy': 0.6773285806179047, 'epoch': 0.33}
{'loss': 1.268, 'grad_norm': 11.078630447387695, 'learning_rate': 1.769503546099291e-05, 'mean_token_accuracy': 0.6766604900360107, 'epoch': 0.35}
{'loss': 1.1997, 'grad_norm': 12.591423034667969, 'learning_rate': 1.7606382978723408e-05, 'mean_token_accuracy': 0.6874912440776825, 'epoch': 0.36}
{'loss': 1.1846, 'grad_norm': 7.83477258682251, 'learning_rate': 1.7517730496453903e-05, 'mean_token_accuracy': 0.6912417769432068, 'epoch': 0.37}
{'loss': 1.2587, 'grad_norm': 8.751786231994629, 'learning_rate': 1.74290780141844e-05, 'mean_token_accuracy': 0.6755685210227966, 'epoch': 0.39}
{'loss': 1.3018, 'grad_norm': 14.16322135925293, 'learning_rate': 1.7340425531914894e-05, 'mean_token_accuracy': 0.666521155834198, 'epoch': 0.4}
{'loss': 1.1963, 'grad_norm': 9.9492769241333, 'learning_rate': 1.725177304964539e-05, 'mean_token_accuracy': 0.6894301116466522, 'epoch': 0.41}
{'loss': 1.2489, 'grad_norm': 9.407525062561035, 'learning_rate': 1.716312056737589e-05, 'mean_token_accuracy': 0.686143696308136, 'epoch': 0.43}
{'loss': 1.0882, 'grad_norm': 10.412537574768066, 'learning_rate': 1.7074468085106384e-05, 'mean_token_accuracy': 0.7197525143623352, 'epoch': 0.44}
{'loss': 1.1711, 'grad_norm': 9.048820495605469, 'learning_rate': 1.6985815602836883e-05, 'mean_token_accuracy': 0.6943510591983795, 'epoch': 0.45}
{'loss': 1.2695, 'grad_norm': 10.861135482788086, 'learning_rate': 1.6897163120567378e-05, 'mean_token_accuracy': 0.6828423380851746, 'epoch': 0.47}
{'loss': 1.1812, 'grad_norm': 9.635154724121094, 'learning_rate': 1.6808510638297873e-05, 'mean_token_accuracy': 0.6939401388168335, 'epoch': 0.48}
{'loss': 1.2231, 'grad_norm': 10.066630363464355, 'learning_rate': 1.671985815602837e-05, 'mean_token_accuracy': 0.6821762502193451, 'epoch': 0.49}
{'loss': 1.1441, 'grad_norm': 12.582624435424805, 'learning_rate': 1.6631205673758864e-05, 'mean_token_accuracy': 0.7064690053462982, 'epoch': 0.51}
{'loss': 1.2007, 'grad_norm': 10.245166778564453, 'learning_rate': 1.6542553191489363e-05, 'mean_token_accuracy': 0.6981915831565857, 'epoch': 0.52}
{'loss': 1.0935, 'grad_norm': 8.112556457519531, 'learning_rate': 1.645390070921986e-05, 'mean_token_accuracy': 0.7130525648593903, 'epoch': 0.53}
{'loss': 1.2276, 'grad_norm': 10.455981254577637, 'learning_rate': 1.6365248226950357e-05, 'mean_token_accuracy': 0.6836429893970489, 'epoch': 0.55}
{'loss': 1.1635, 'grad_norm': 9.402122497558594, 'learning_rate': 1.6276595744680853e-05, 'mean_token_accuracy': 0.6960098385810852, 'epoch': 0.56}
{'loss': 1.0126, 'grad_norm': 10.00617790222168, 'learning_rate': 1.6187943262411348e-05, 'mean_token_accuracy': 0.7302874565124512, 'epoch': 0.57}
{'loss': 1.0997, 'grad_norm': 10.830562591552734, 'learning_rate': 1.6099290780141847e-05, 'mean_token_accuracy': 0.7120029211044312, 'epoch': 0.59}
{'loss': 1.0876, 'grad_norm': 8.645755767822266, 'learning_rate': 1.6010638297872342e-05, 'mean_token_accuracy': 0.7114653408527374, 'epoch': 0.6}
{'loss': 1.0746, 'grad_norm': 13.530696868896484, 'learning_rate': 1.5921985815602838e-05, 'mean_token_accuracy': 0.7134587168693542, 'epoch': 0.61}
{'loss': 1.0941, 'grad_norm': 10.031660079956055, 'learning_rate': 1.5833333333333333e-05, 'mean_token_accuracy': 0.700406140089035, 'epoch': 0.62}
{'loss': 1.1771, 'grad_norm': 8.644402503967285, 'learning_rate': 1.5744680851063832e-05, 'mean_token_accuracy': 0.6986433744430542, 'epoch': 0.64}
{'loss': 1.13, 'grad_norm': 10.957518577575684, 'learning_rate': 1.5656028368794327e-05, 'mean_token_accuracy': 0.7099343001842499, 'epoch': 0.65}
{'loss': 1.0348, 'grad_norm': 8.343558311462402, 'learning_rate': 1.5567375886524826e-05, 'mean_token_accuracy': 0.7222154974937439, 'epoch': 0.66}
{'loss': 1.0517, 'grad_norm': 9.113645553588867, 'learning_rate': 1.547872340425532e-05, 'mean_token_accuracy': 0.7232258439064025, 'epoch': 0.68}
{'loss': 1.106, 'grad_norm': 16.11874771118164, 'learning_rate': 1.5390070921985817e-05, 'mean_token_accuracy': 0.7090001583099366, 'epoch': 0.69}
{'loss': 0.9897, 'grad_norm': 8.608505249023438, 'learning_rate': 1.5301418439716312e-05, 'mean_token_accuracy': 0.7392865002155304, 'epoch': 0.7}
{'loss': 1.0321, 'grad_norm': 8.07579517364502, 'learning_rate': 1.521276595744681e-05, 'mean_token_accuracy': 0.7274193227291107, 'epoch': 0.72}
