  0%|          | 0/492 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                 
{'loss': 1.5089, 'grad_norm': 0.1782287210226059, 'learning_rate': 9.817073170731708e-05, 'mean_token_accuracy': 0.629143887758255, 'epoch': 0.04}
{'loss': 1.2965, 'grad_norm': 0.1950860321521759, 'learning_rate': 9.613821138211383e-05, 'mean_token_accuracy': 0.6660555839538574, 'epoch': 0.08}
{'loss': 1.1518, 'grad_norm': 0.41254517436027527, 'learning_rate': 9.410569105691057e-05, 'mean_token_accuracy': 0.6780280113220215, 'epoch': 0.12}
{'loss': 1.0368, 'grad_norm': 0.30401238799095154, 'learning_rate': 9.207317073170732e-05, 'mean_token_accuracy': 0.7049696981906891, 'epoch': 0.16}
{'loss': 0.9866, 'grad_norm': 0.24795512855052948, 'learning_rate': 9.004065040650407e-05, 'mean_token_accuracy': 0.7055656552314759, 'epoch': 0.2}
{'loss': 0.9149, 'grad_norm': 0.19422151148319244, 'learning_rate': 8.800813008130082e-05, 'mean_token_accuracy': 0.7240402221679687, 'epoch': 0.24}
{'loss': 0.8988, 'grad_norm': 0.3436550796031952, 'learning_rate': 8.597560975609756e-05, 'mean_token_accuracy': 0.737415325641632, 'epoch': 0.28}
{'loss': 0.8996, 'grad_norm': 0.20849615335464478, 'learning_rate': 8.394308943089432e-05, 'mean_token_accuracy': 0.7272612988948822, 'epoch': 0.33}
{'loss': 0.8694, 'grad_norm': 0.3047320246696472, 'learning_rate': 8.191056910569106e-05, 'mean_token_accuracy': 0.7318309247493744, 'epoch': 0.37}
{'loss': 0.8335, 'grad_norm': 0.28273406624794006, 'learning_rate': 7.987804878048781e-05, 'mean_token_accuracy': 0.7437158644199371, 'epoch': 0.41}
{'loss': 0.8209, 'grad_norm': 0.3021615445613861, 'learning_rate': 7.784552845528456e-05, 'mean_token_accuracy': 0.7476780831813812, 'epoch': 0.45}
{'loss': 0.7828, 'grad_norm': 0.2888272702693939, 'learning_rate': 7.581300813008131e-05, 'mean_token_accuracy': 0.7579885125160217, 'epoch': 0.49}
{'loss': 0.7947, 'grad_norm': 0.26708096265792847, 'learning_rate': 7.378048780487805e-05, 'mean_token_accuracy': 0.7491387963294983, 'epoch': 0.53}
{'loss': 0.8084, 'grad_norm': 0.2287052571773529, 'learning_rate': 7.17479674796748e-05, 'mean_token_accuracy': 0.7432303607463837, 'epoch': 0.57}
{'loss': 0.8242, 'grad_norm': 0.4045657217502594, 'learning_rate': 6.971544715447155e-05, 'mean_token_accuracy': 0.7477193117141724, 'epoch': 0.61}
{'loss': 0.8047, 'grad_norm': 0.30954357981681824, 'learning_rate': 6.76829268292683e-05, 'mean_token_accuracy': 0.74398073554039, 'epoch': 0.65}
{'loss': 0.7929, 'grad_norm': 0.40543538331985474, 'learning_rate': 6.565040650406504e-05, 'mean_token_accuracy': 0.7456735253334046, 'epoch': 0.69}
{'loss': 0.7706, 'grad_norm': 0.3179258704185486, 'learning_rate': 6.36178861788618e-05, 'mean_token_accuracy': 0.7567709982395172, 'epoch': 0.73}
{'loss': 0.7895, 'grad_norm': 0.3069108724594116, 'learning_rate': 6.158536585365854e-05, 'mean_token_accuracy': 0.7555975794792176, 'epoch': 0.77}
{'loss': 0.7546, 'grad_norm': 0.48863646388053894, 'learning_rate': 5.955284552845529e-05, 'mean_token_accuracy': 0.7638042747974396, 'epoch': 0.81}
{'loss': 0.7747, 'grad_norm': 0.4311006963253021, 'learning_rate': 5.7520325203252034e-05, 'mean_token_accuracy': 0.7539782285690307, 'epoch': 0.85}
{'loss': 0.7893, 'grad_norm': 0.29982301592826843, 'learning_rate': 5.5487804878048785e-05, 'mean_token_accuracy': 0.7552440166473389, 'epoch': 0.89}
{'loss': 0.7928, 'grad_norm': 0.3090077042579651, 'learning_rate': 5.345528455284553e-05, 'mean_token_accuracy': 0.754701030254364, 'epoch': 0.93}
{'loss': 0.7936, 'grad_norm': 0.39383596181869507, 'learning_rate': 5.1422764227642286e-05, 'mean_token_accuracy': 0.7566992580890656, 'epoch': 0.98}
{'loss': 0.7421, 'grad_norm': 0.3233407437801361, 'learning_rate': 4.9390243902439024e-05, 'mean_token_accuracy': 0.7518676877021789, 'epoch': 1.02}
{'loss': 0.6969, 'grad_norm': 0.43444541096687317, 'learning_rate': 4.7357723577235774e-05, 'mean_token_accuracy': 0.7741322815418243, 'epoch': 1.06}
{'loss': 0.7538, 'grad_norm': 0.46164530515670776, 'learning_rate': 4.5325203252032525e-05, 'mean_token_accuracy': 0.7605806112289428, 'epoch': 1.1}
{'loss': 0.765, 'grad_norm': 0.31740590929985046, 'learning_rate': 4.329268292682927e-05, 'mean_token_accuracy': 0.7598933815956116, 'epoch': 1.14}
{'loss': 0.7267, 'grad_norm': 0.37494316697120667, 'learning_rate': 4.126016260162602e-05, 'mean_token_accuracy': 0.7585664510726928, 'epoch': 1.18}
{'loss': 0.7412, 'grad_norm': 0.37181058526039124, 'learning_rate': 3.922764227642276e-05, 'mean_token_accuracy': 0.761362737417221, 'epoch': 1.22}
{'loss': 0.7474, 'grad_norm': 0.32728785276412964, 'learning_rate': 3.7195121951219514e-05, 'mean_token_accuracy': 0.7671271800994873, 'epoch': 1.26}
{'loss': 0.7782, 'grad_norm': 0.34765690565109253, 'learning_rate': 3.5162601626016265e-05, 'mean_token_accuracy': 0.7556187212467194, 'epoch': 1.3}
