  0%|          | 0/492 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                   
{'loss': 1.4642, 'grad_norm': 28.909757614135742, 'learning_rate': 1.9634146341463414e-05, 'mean_token_accuracy': 0.639553326368332, 'epoch': 0.04}
{'loss': 1.3886, 'grad_norm': 17.614185333251953, 'learning_rate': 1.9227642276422765e-05, 'mean_token_accuracy': 0.6544028043746948, 'epoch': 0.08}
{'loss': 1.3987, 'grad_norm': 25.29100227355957, 'learning_rate': 1.8821138211382116e-05, 'mean_token_accuracy': 0.6486092507839203, 'epoch': 0.12}
{'loss': 1.3443, 'grad_norm': 22.60198402404785, 'learning_rate': 1.8414634146341467e-05, 'mean_token_accuracy': 0.6677929878234863, 'epoch': 0.16}
{'loss': 1.2855, 'grad_norm': 20.471759796142578, 'learning_rate': 1.8008130081300814e-05, 'mean_token_accuracy': 0.6588772773742676, 'epoch': 0.2}
{'loss': 1.2538, 'grad_norm': 16.303199768066406, 'learning_rate': 1.7601626016260165e-05, 'mean_token_accuracy': 0.6822761118412017, 'epoch': 0.24}
{'loss': 1.2805, 'grad_norm': 17.454242706298828, 'learning_rate': 1.7195121951219512e-05, 'mean_token_accuracy': 0.6706055641174317, 'epoch': 0.28}
{'loss': 1.1605, 'grad_norm': 14.558199882507324, 'learning_rate': 1.6788617886178863e-05, 'mean_token_accuracy': 0.6972313463687897, 'epoch': 0.33}
{'loss': 1.2178, 'grad_norm': 13.335440635681152, 'learning_rate': 1.6382113821138214e-05, 'mean_token_accuracy': 0.688908189535141, 'epoch': 0.37}
{'loss': 1.2081, 'grad_norm': 14.288129806518555, 'learning_rate': 1.597560975609756e-05, 'mean_token_accuracy': 0.6969717741012573, 'epoch': 0.41}
{'loss': 1.2252, 'grad_norm': 18.70625877380371, 'learning_rate': 1.5569105691056912e-05, 'mean_token_accuracy': 0.6931253015995026, 'epoch': 0.45}
{'loss': 0.9792, 'grad_norm': 17.574594497680664, 'learning_rate': 1.5162601626016263e-05, 'mean_token_accuracy': 0.7434183835983277, 'epoch': 0.49}
{'loss': 1.0514, 'grad_norm': 12.319915771484375, 'learning_rate': 1.475609756097561e-05, 'mean_token_accuracy': 0.7305702209472656, 'epoch': 0.53}
{'loss': 0.9788, 'grad_norm': 14.957072257995605, 'learning_rate': 1.4349593495934961e-05, 'mean_token_accuracy': 0.7370256125926972, 'epoch': 0.57}
{'loss': 1.0929, 'grad_norm': 12.618544578552246, 'learning_rate': 1.394308943089431e-05, 'mean_token_accuracy': 0.7314377069473267, 'epoch': 0.61}
{'loss': 0.9605, 'grad_norm': 11.383076667785645, 'learning_rate': 1.3536585365853661e-05, 'mean_token_accuracy': 0.7456229209899903, 'epoch': 0.65}
{'loss': 0.9358, 'grad_norm': 14.092361450195312, 'learning_rate': 1.3130081300813009e-05, 'mean_token_accuracy': 0.7460748851299286, 'epoch': 0.69}
{'loss': 0.9808, 'grad_norm': 13.113834381103516, 'learning_rate': 1.272357723577236e-05, 'mean_token_accuracy': 0.737818717956543, 'epoch': 0.73}
{'loss': 0.8145, 'grad_norm': 9.583517074584961, 'learning_rate': 1.2317073170731709e-05, 'mean_token_accuracy': 0.7875664234161377, 'epoch': 0.77}
{'loss': 0.876, 'grad_norm': 13.469508171081543, 'learning_rate': 1.191056910569106e-05, 'mean_token_accuracy': 0.766440212726593, 'epoch': 0.81}
{'loss': 0.8356, 'grad_norm': 20.60003662109375, 'learning_rate': 1.1504065040650407e-05, 'mean_token_accuracy': 0.771992164850235, 'epoch': 0.85}
{'loss': 0.8881, 'grad_norm': 10.466862678527832, 'learning_rate': 1.1097560975609758e-05, 'mean_token_accuracy': 0.7589555144309997, 'epoch': 0.89}
{'loss': 0.8488, 'grad_norm': 23.586565017700195, 'learning_rate': 1.0691056910569107e-05, 'mean_token_accuracy': 0.766651701927185, 'epoch': 0.93}
{'loss': 0.8285, 'grad_norm': 9.472016334533691, 'learning_rate': 1.0284552845528458e-05, 'mean_token_accuracy': 0.7805628955364228, 'epoch': 0.98}
{'loss': 0.7809, 'grad_norm': 11.528746604919434, 'learning_rate': 9.878048780487805e-06, 'mean_token_accuracy': 0.771742433309555, 'epoch': 1.02}
{'loss': 0.7016, 'grad_norm': 11.07274341583252, 'learning_rate': 9.471544715447156e-06, 'mean_token_accuracy': 0.8090157449245453, 'epoch': 1.06}
{'loss': 0.6607, 'grad_norm': 8.148026466369629, 'learning_rate': 9.065040650406505e-06, 'mean_token_accuracy': 0.8186969041824341, 'epoch': 1.1}
{'loss': 0.6953, 'grad_norm': 10.17772102355957, 'learning_rate': 8.658536585365854e-06, 'mean_token_accuracy': 0.8072399199008942, 'epoch': 1.14}
{'loss': 0.6417, 'grad_norm': 11.281803131103516, 'learning_rate': 8.252032520325203e-06, 'mean_token_accuracy': 0.8238899528980255, 'epoch': 1.18}
