  0%|          | 0/2340 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                    
{'loss': 1.619, 'grad_norm': 0.16743707656860352, 'learning_rate': 9.961538461538463e-05, 'mean_token_accuracy': 0.647361022233963, 'epoch': 0.01}
{'loss': 1.2331, 'grad_norm': 0.30861973762512207, 'learning_rate': 9.91880341880342e-05, 'mean_token_accuracy': 0.6928465187549591, 'epoch': 0.03}
{'loss': 1.1848, 'grad_norm': 0.20935998857021332, 'learning_rate': 9.876068376068377e-05, 'mean_token_accuracy': 0.7005791604518891, 'epoch': 0.04}
{'loss': 1.2291, 'grad_norm': 0.3456929326057434, 'learning_rate': 9.833333333333333e-05, 'mean_token_accuracy': 0.6901376247406006, 'epoch': 0.05}
{'loss': 1.1828, 'grad_norm': 0.28565314412117004, 'learning_rate': 9.79059829059829e-05, 'mean_token_accuracy': 0.6899349987506866, 'epoch': 0.06}
{'loss': 1.0784, 'grad_norm': 0.2552095651626587, 'learning_rate': 9.747863247863249e-05, 'mean_token_accuracy': 0.6998468637466431, 'epoch': 0.08}
{'loss': 1.1284, 'grad_norm': 0.5318806171417236, 'learning_rate': 9.705128205128206e-05, 'mean_token_accuracy': 0.7012665867805481, 'epoch': 0.09}
{'loss': 1.1222, 'grad_norm': 0.36338305473327637, 'learning_rate': 9.662393162393163e-05, 'mean_token_accuracy': 0.6994607031345368, 'epoch': 0.1}
{'loss': 1.0634, 'grad_norm': 0.26614898443222046, 'learning_rate': 9.61965811965812e-05, 'mean_token_accuracy': 0.7032518565654755, 'epoch': 0.12}
{'loss': 0.9919, 'grad_norm': 0.14423027634620667, 'learning_rate': 9.576923076923078e-05, 'mean_token_accuracy': 0.7186967849731445, 'epoch': 0.13}
{'loss': 1.0918, 'grad_norm': 0.4767806828022003, 'learning_rate': 9.534188034188035e-05, 'mean_token_accuracy': 0.6993407905101776, 'epoch': 0.14}
{'loss': 1.0792, 'grad_norm': 0.31271782517433167, 'learning_rate': 9.491452991452992e-05, 'mean_token_accuracy': 0.7031454086303711, 'epoch': 0.15}
{'loss': 1.0235, 'grad_norm': 0.35780420899391174, 'learning_rate': 9.448717948717949e-05, 'mean_token_accuracy': 0.713576716184616, 'epoch': 0.17}
{'loss': 1.0109, 'grad_norm': 0.15745212137699127, 'learning_rate': 9.405982905982906e-05, 'mean_token_accuracy': 0.7076654255390167, 'epoch': 0.18}
{'loss': 1.0042, 'grad_norm': 0.7285159826278687, 'learning_rate': 9.363247863247864e-05, 'mean_token_accuracy': 0.7079128384590149, 'epoch': 0.19}
{'loss': 0.9715, 'grad_norm': 0.4045702815055847, 'learning_rate': 9.320512820512821e-05, 'mean_token_accuracy': 0.7164684712886811, 'epoch': 0.21}
{'loss': 1.0569, 'grad_norm': 0.1918403059244156, 'learning_rate': 9.277777777777778e-05, 'mean_token_accuracy': 0.7111510992050171, 'epoch': 0.22}
{'loss': 1.0151, 'grad_norm': 0.5522595643997192, 'learning_rate': 9.235042735042737e-05, 'mean_token_accuracy': 0.7074279665946961, 'epoch': 0.23}
{'loss': 0.9732, 'grad_norm': 0.1468624323606491, 'learning_rate': 9.192307692307692e-05, 'mean_token_accuracy': 0.7179803013801574, 'epoch': 0.24}
{'loss': 0.9443, 'grad_norm': 0.45766481757164, 'learning_rate': 9.14957264957265e-05, 'mean_token_accuracy': 0.7235691726207734, 'epoch': 0.26}
{'loss': 1.0296, 'grad_norm': 0.619573175907135, 'learning_rate': 9.106837606837607e-05, 'mean_token_accuracy': 0.7068955063819885, 'epoch': 0.27}
{'loss': 0.9874, 'grad_norm': 0.3448742628097534, 'learning_rate': 9.064102564102564e-05, 'mean_token_accuracy': 0.7158881843090057, 'epoch': 0.28}
{'loss': 0.9419, 'grad_norm': 0.5379670858383179, 'learning_rate': 9.021367521367521e-05, 'mean_token_accuracy': 0.7179693639278412, 'epoch': 0.29}
{'loss': 0.8976, 'grad_norm': 0.7472949028015137, 'learning_rate': 8.97863247863248e-05, 'mean_token_accuracy': 0.730660593509674, 'epoch': 0.31}
{'loss': 0.9355, 'grad_norm': 0.6796392202377319, 'learning_rate': 8.935897435897437e-05, 'mean_token_accuracy': 0.7211078584194184, 'epoch': 0.32}
{'loss': 0.9456, 'grad_norm': 0.47441810369491577, 'learning_rate': 8.893162393162393e-05, 'mean_token_accuracy': 0.7189290821552277, 'epoch': 0.33}
{'loss': 0.9483, 'grad_norm': 0.3871909976005554, 'learning_rate': 8.85042735042735e-05, 'mean_token_accuracy': 0.7174362897872925, 'epoch': 0.35}
{'loss': 0.8516, 'grad_norm': 0.8974794745445251, 'learning_rate': 8.807692307692307e-05, 'mean_token_accuracy': 0.7372676253318786, 'epoch': 0.36}
{'loss': 0.9064, 'grad_norm': 0.5911415815353394, 'learning_rate': 8.764957264957266e-05, 'mean_token_accuracy': 0.7213961601257324, 'epoch': 0.37}
{'loss': 0.9013, 'grad_norm': 0.46800532937049866, 'learning_rate': 8.722222222222223e-05, 'mean_token_accuracy': 0.7245828628540039, 'epoch': 0.38}
{'loss': 0.8542, 'grad_norm': 0.7370620369911194, 'learning_rate': 8.67948717948718e-05, 'mean_token_accuracy': 0.736950820684433, 'epoch': 0.4}
{'loss': 0.9036, 'grad_norm': 0.8483733534812927, 'learning_rate': 8.636752136752138e-05, 'mean_token_accuracy': 0.7311022579669952, 'epoch': 0.41}
{'loss': 0.8542, 'grad_norm': 0.7115064263343811, 'learning_rate': 8.594017094017095e-05, 'mean_token_accuracy': 0.7311399757862092, 'epoch': 0.42}
{'loss': 0.8656, 'grad_norm': 0.77713543176651, 'learning_rate': 8.551282051282052e-05, 'mean_token_accuracy': 0.7250921607017518, 'epoch': 0.44}
{'loss': 0.807, 'grad_norm': 0.6826021671295166, 'learning_rate': 8.508547008547009e-05, 'mean_token_accuracy': 0.738712477684021, 'epoch': 0.45}
{'loss': 0.8102, 'grad_norm': 0.5494780540466309, 'learning_rate': 8.465811965811966e-05, 'mean_token_accuracy': 0.7420782446861267, 'epoch': 0.46}
{'loss': 0.8077, 'grad_norm': 0.7709138989448547, 'learning_rate': 8.423076923076924e-05, 'mean_token_accuracy': 0.7358317613601685, 'epoch': 0.47}
{'loss': 0.8001, 'grad_norm': 0.5968007445335388, 'learning_rate': 8.380341880341881e-05, 'mean_token_accuracy': 0.73541419506073, 'epoch': 0.49}
{'loss': 0.8451, 'grad_norm': 0.43197953701019287, 'learning_rate': 8.337606837606838e-05, 'mean_token_accuracy': 0.7310899496078491, 'epoch': 0.5}
{'loss': 0.8156, 'grad_norm': 1.0197410583496094, 'learning_rate': 8.294871794871795e-05, 'mean_token_accuracy': 0.7371903717517853, 'epoch': 0.51}
{'loss': 0.8386, 'grad_norm': 0.9249475598335266, 'learning_rate': 8.252136752136752e-05, 'mean_token_accuracy': 0.7395039737224579, 'epoch': 0.53}
