  0%|          | 0/1665 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                   
{'loss': 1.6988, 'grad_norm': 14.357537269592285, 'learning_rate': 1.9891891891891894e-05, 'mean_token_accuracy': 0.600380289554596, 'epoch': 0.02}
{'loss': 1.4756, 'grad_norm': 10.867972373962402, 'learning_rate': 1.9771771771771773e-05, 'mean_token_accuracy': 0.6201544165611267, 'epoch': 0.04}
{'loss': 1.4316, 'grad_norm': 24.484342575073242, 'learning_rate': 1.965165165165165e-05, 'mean_token_accuracy': 0.630399888753891, 'epoch': 0.05}
{'loss': 1.2585, 'grad_norm': 12.932807922363281, 'learning_rate': 1.9531531531531534e-05, 'mean_token_accuracy': 0.6527356207370758, 'epoch': 0.07}
{'loss': 1.249, 'grad_norm': 17.685401916503906, 'learning_rate': 1.9411411411411413e-05, 'mean_token_accuracy': 0.6486681759357452, 'epoch': 0.09}
{'loss': 1.2458, 'grad_norm': 14.165101051330566, 'learning_rate': 1.929129129129129e-05, 'mean_token_accuracy': 0.6445535063743592, 'epoch': 0.11}
{'loss': 1.225, 'grad_norm': 10.762762069702148, 'learning_rate': 1.9171171171171174e-05, 'mean_token_accuracy': 0.6484612226486206, 'epoch': 0.13}
{'loss': 1.0628, 'grad_norm': 8.067544937133789, 'learning_rate': 1.9051051051051052e-05, 'mean_token_accuracy': 0.6787983179092407, 'epoch': 0.14}
{'loss': 0.9967, 'grad_norm': 8.466245651245117, 'learning_rate': 1.8930930930930935e-05, 'mean_token_accuracy': 0.6968330919742585, 'epoch': 0.16}
{'loss': 1.114, 'grad_norm': 12.571304321289062, 'learning_rate': 1.8810810810810813e-05, 'mean_token_accuracy': 0.6651588439941406, 'epoch': 0.18}
{'loss': 1.0321, 'grad_norm': 9.364120483398438, 'learning_rate': 1.8690690690690692e-05, 'mean_token_accuracy': 0.6929152071475982, 'epoch': 0.2}
{'loss': 0.8705, 'grad_norm': 7.307046413421631, 'learning_rate': 1.857057057057057e-05, 'mean_token_accuracy': 0.7153335511684418, 'epoch': 0.22}
{'loss': 0.9386, 'grad_norm': 7.832797527313232, 'learning_rate': 1.8450450450450453e-05, 'mean_token_accuracy': 0.7045727491378784, 'epoch': 0.23}
{'loss': 0.8658, 'grad_norm': 7.719090938568115, 'learning_rate': 1.8330330330330332e-05, 'mean_token_accuracy': 0.7178883612155914, 'epoch': 0.25}
{'loss': 0.9498, 'grad_norm': 5.243046283721924, 'learning_rate': 1.821021021021021e-05, 'mean_token_accuracy': 0.6902343332767487, 'epoch': 0.27}
{'loss': 0.8678, 'grad_norm': 9.13566780090332, 'learning_rate': 1.809009009009009e-05, 'mean_token_accuracy': 0.7255411982536316, 'epoch': 0.29}
