  0%|          | 0/1260 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                    
{'loss': 2.0107, 'grad_norm': 0.543590247631073, 'learning_rate': 9.92857142857143e-05, 'mean_token_accuracy': 0.5635914087295533, 'epoch': 0.02}
{'loss': 1.7954, 'grad_norm': 0.28946349024772644, 'learning_rate': 9.84920634920635e-05, 'mean_token_accuracy': 0.6163800299167633, 'epoch': 0.05}
{'loss': 1.5738, 'grad_norm': 0.34606561064720154, 'learning_rate': 9.76984126984127e-05, 'mean_token_accuracy': 0.6303292989730835, 'epoch': 0.07}
{'loss': 1.3874, 'grad_norm': nan, 'learning_rate': 9.69047619047619e-05, 'mean_token_accuracy': 0.45890949964523314, 'epoch': 0.1}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.611111111111112e-05, 'mean_token_accuracy': 7.770007941871881e-05, 'epoch': 0.12}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.531746031746033e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.14}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.452380952380952e-05, 'mean_token_accuracy': 0.0001917072047945112, 'epoch': 0.17}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.373015873015874e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.19}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.293650793650794e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.21}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.214285714285714e-05, 'mean_token_accuracy': 0.00010204081190750003, 'epoch': 0.24}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.134920634920635e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.26}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.055555555555556e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.29}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.976190476190477e-05, 'mean_token_accuracy': 0.0001321004005149007, 'epoch': 0.31}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.896825396825397e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.33}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.817460317460317e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.36}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.738095238095239e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.38}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.658730158730159e-05, 'mean_token_accuracy': 9.216589969582856e-05, 'epoch': 0.4}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.579365079365079e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.43}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.5e-05, 'mean_token_accuracy': 0.00018382353009656073, 'epoch': 0.45}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.420634920634921e-05, 'mean_token_accuracy': 7.917656330391765e-05, 'epoch': 0.48}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.341269841269842e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.5}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.261904761904762e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.52}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.182539682539683e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.55}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.103174603174604e-05, 'mean_token_accuracy': 0.00020746889058500528, 'epoch': 0.57}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 8.023809523809524e-05, 'mean_token_accuracy': 0.00012953367549926043, 'epoch': 0.6}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.944444444444444e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.62}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.865079365079366e-05, 'mean_token_accuracy': 7.385524222627282e-05, 'epoch': 0.64}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.785714285714286e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.67}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.706349206349208e-05, 'mean_token_accuracy': 8.72600357979536e-05, 'epoch': 0.69}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.626984126984126e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.71}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.547619047619048e-05, 'mean_token_accuracy': 9.65250947047025e-05, 'epoch': 0.74}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.468253968253969e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.76}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.38888888888889e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.79}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.30952380952381e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.81}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.23015873015873e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.83}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.150793650793651e-05, 'mean_token_accuracy': 0.00033984705805778503, 'epoch': 0.86}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 7.071428571428573e-05, 'mean_token_accuracy': 0.00029454195173457266, 'epoch': 0.88}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.992063492063492e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.9}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.912698412698413e-05, 'mean_token_accuracy': 8.547008619643747e-05, 'epoch': 0.93}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.833333333333333e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.95}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.753968253968255e-05, 'mean_token_accuracy': 0.0, 'epoch': 0.98}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.674603174603175e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.0}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.595238095238095e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.02}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.515873015873016e-05, 'mean_token_accuracy': 9.140768088400364e-05, 'epoch': 1.05}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.436507936507937e-05, 'mean_token_accuracy': 0.00020212361123412849, 'epoch': 1.07}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.357142857142857e-05, 'mean_token_accuracy': 0.00010570824379101396, 'epoch': 1.1}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.277777777777778e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.12}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.198412698412698e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.14}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.11904761904762e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.17}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6.0396825396825394e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.19}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.96031746031746e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.21}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.880952380952382e-05, 'mean_token_accuracy': 9.08265239559114e-05, 'epoch': 1.24}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.8015873015873026e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.26}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.722222222222222e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.29}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.642857142857143e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.31}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.563492063492064e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.33}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.484126984126985e-05, 'mean_token_accuracy': 0.0, 'epoch': 1.36}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.4047619047619046e-05, 'mean_token_accuracy': 8.525149314664304e-05, 'epoch': 1.38}
