  0%|          | 0/450 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                 
{'loss': 1.744, 'grad_norm': 16.817363739013672, 'learning_rate': 1.9600000000000002e-05, 'mean_token_accuracy': 0.577990037202835, 'epoch': 0.04}
{'loss': 1.5285, 'grad_norm': 11.275634765625, 'learning_rate': 1.9155555555555558e-05, 'mean_token_accuracy': 0.6220016241073608, 'epoch': 0.09}
{'loss': 1.3392, 'grad_norm': 8.150416374206543, 'learning_rate': 1.8711111111111113e-05, 'mean_token_accuracy': 0.6508636236190796, 'epoch': 0.13}
{'loss': 1.2954, 'grad_norm': 8.656866073608398, 'learning_rate': 1.826666666666667e-05, 'mean_token_accuracy': 0.6395532310009002, 'epoch': 0.18}
{'loss': 1.1369, 'grad_norm': 10.042262077331543, 'learning_rate': 1.782222222222222e-05, 'mean_token_accuracy': 0.6692836463451386, 'epoch': 0.22}
{'loss': 0.9983, 'grad_norm': 12.797050476074219, 'learning_rate': 1.737777777777778e-05, 'mean_token_accuracy': 0.7060979068279266, 'epoch': 0.27}
{'loss': 0.9794, 'grad_norm': 7.750107765197754, 'learning_rate': 1.6933333333333336e-05, 'mean_token_accuracy': 0.7055077493190766, 'epoch': 0.31}
{'loss': 0.8951, 'grad_norm': 15.666120529174805, 'learning_rate': 1.648888888888889e-05, 'mean_token_accuracy': 0.705423253774643, 'epoch': 0.36}
{'loss': 0.8336, 'grad_norm': 7.76034688949585, 'learning_rate': 1.6044444444444444e-05, 'mean_token_accuracy': 0.724761563539505, 'epoch': 0.4}
{'loss': 0.9169, 'grad_norm': 8.622438430786133, 'learning_rate': 1.5600000000000003e-05, 'mean_token_accuracy': 0.7143039166927337, 'epoch': 0.44}
{'loss': 0.7222, 'grad_norm': 5.722242832183838, 'learning_rate': 1.5155555555555557e-05, 'mean_token_accuracy': 0.7463367581367493, 'epoch': 0.49}
{'loss': 0.7207, 'grad_norm': 6.761237144470215, 'learning_rate': 1.4711111111111111e-05, 'mean_token_accuracy': 0.7497835278511047, 'epoch': 0.53}
