  0%|          | 0/450 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                 
{'loss': 1.7471, 'grad_norm': 12.906441688537598, 'learning_rate': 1.9600000000000002e-05, 'mean_token_accuracy': 0.589662617444992, 'epoch': 0.04}
{'loss': 1.4706, 'grad_norm': 9.347175598144531, 'learning_rate': 1.9155555555555558e-05, 'mean_token_accuracy': 0.6224868595600128, 'epoch': 0.09}
{'loss': 1.3664, 'grad_norm': 9.728759765625, 'learning_rate': 1.8711111111111113e-05, 'mean_token_accuracy': 0.635124397277832, 'epoch': 0.13}
{'loss': 1.2185, 'grad_norm': 9.71789836883545, 'learning_rate': 1.826666666666667e-05, 'mean_token_accuracy': 0.6565569400787353, 'epoch': 0.18}
{'loss': 1.0958, 'grad_norm': 8.170117378234863, 'learning_rate': 1.782222222222222e-05, 'mean_token_accuracy': 0.6756902277469635, 'epoch': 0.22}
{'loss': 1.0199, 'grad_norm': 6.695815086364746, 'learning_rate': 1.737777777777778e-05, 'mean_token_accuracy': 0.6953495919704438, 'epoch': 0.27}
{'loss': 0.9704, 'grad_norm': 16.748863220214844, 'learning_rate': 1.6933333333333336e-05, 'mean_token_accuracy': 0.7337533473968506, 'epoch': 0.31}
{'loss': 0.9414, 'grad_norm': 10.166633605957031, 'learning_rate': 1.648888888888889e-05, 'mean_token_accuracy': 0.7218663930892945, 'epoch': 0.36}
{'loss': 1.0283, 'grad_norm': 10.286340713500977, 'learning_rate': 1.6044444444444444e-05, 'mean_token_accuracy': 0.7077896177768708, 'epoch': 0.4}
{'loss': 0.7608, 'grad_norm': 6.781777858734131, 'learning_rate': 1.5600000000000003e-05, 'mean_token_accuracy': 0.7455276012420654, 'epoch': 0.44}
{'loss': 0.8824, 'grad_norm': 8.626922607421875, 'learning_rate': 1.5155555555555557e-05, 'mean_token_accuracy': 0.716588044166565, 'epoch': 0.49}
{'loss': 0.8331, 'grad_norm': 8.224922180175781, 'learning_rate': 1.4711111111111111e-05, 'mean_token_accuracy': 0.72659832239151, 'epoch': 0.53}
{'loss': 0.778, 'grad_norm': 8.054896354675293, 'learning_rate': 1.4266666666666668e-05, 'mean_token_accuracy': 0.7428834021091462, 'epoch': 0.58}
{'loss': 0.6674, 'grad_norm': 5.9788360595703125, 'learning_rate': 1.3822222222222224e-05, 'mean_token_accuracy': 0.7934004724025726, 'epoch': 0.62}
{'loss': 0.7334, 'grad_norm': 6.434677600860596, 'learning_rate': 1.3377777777777778e-05, 'mean_token_accuracy': 0.7526217401027679, 'epoch': 0.67}
{'loss': 0.7107, 'grad_norm': 7.749194145202637, 'learning_rate': 1.2933333333333334e-05, 'mean_token_accuracy': 0.763909250497818, 'epoch': 0.71}
{'loss': 0.6174, 'grad_norm': 10.687010765075684, 'learning_rate': 1.2488888888888891e-05, 'mean_token_accuracy': 0.7730309784412384, 'epoch': 0.76}
{'loss': 0.6811, 'grad_norm': 9.332029342651367, 'learning_rate': 1.2044444444444445e-05, 'mean_token_accuracy': 0.7758779406547547, 'epoch': 0.8}
{'loss': 0.679, 'grad_norm': 4.77299165725708, 'learning_rate': 1.16e-05, 'mean_token_accuracy': 0.7825395286083221, 'epoch': 0.84}
{'loss': 0.5269, 'grad_norm': 7.570502281188965, 'learning_rate': 1.1155555555555556e-05, 'mean_token_accuracy': 0.8177712082862854, 'epoch': 0.89}
{'loss': 0.4237, 'grad_norm': 4.665303707122803, 'learning_rate': 1.0711111111111112e-05, 'mean_token_accuracy': 0.8481805205345154, 'epoch': 0.93}
{'loss': 0.449, 'grad_norm': 5.745391845703125, 'learning_rate': 1.0266666666666668e-05, 'mean_token_accuracy': 0.8387883841991425, 'epoch': 0.98}
{'loss': 0.3242, 'grad_norm': 2.5792462825775146, 'learning_rate': 9.822222222222223e-06, 'mean_token_accuracy': 0.8725451529026031, 'epoch': 1.02}
{'loss': 0.4384, 'grad_norm': 6.61686897277832, 'learning_rate': 9.377777777777779e-06, 'mean_token_accuracy': 0.8388226807117463, 'epoch': 1.07}
{'loss': 0.4878, 'grad_norm': 7.711626052856445, 'learning_rate': 8.933333333333333e-06, 'mean_token_accuracy': 0.8279335558414459, 'epoch': 1.11}
{'loss': 0.4209, 'grad_norm': 7.911254405975342, 'learning_rate': 8.48888888888889e-06, 'mean_token_accuracy': 0.838348639011383, 'epoch': 1.16}
{'loss': 0.3717, 'grad_norm': 5.381739616394043, 'learning_rate': 8.044444444444444e-06, 'mean_token_accuracy': 0.8626447796821595, 'epoch': 1.2}
{'loss': 0.3396, 'grad_norm': 4.5661797523498535, 'learning_rate': 7.600000000000001e-06, 'mean_token_accuracy': 0.8752352893352509, 'epoch': 1.24}
{'loss': 0.3109, 'grad_norm': 3.2321372032165527, 'learning_rate': 7.155555555555556e-06, 'mean_token_accuracy': 0.8907311975955963, 'epoch': 1.29}
{'loss': 0.3672, 'grad_norm': 6.985063076019287, 'learning_rate': 6.711111111111111e-06, 'mean_token_accuracy': 0.8498523473739624, 'epoch': 1.33}
{'loss': 0.3489, 'grad_norm': 6.666231155395508, 'learning_rate': 6.266666666666668e-06, 'mean_token_accuracy': 0.8561897814273834, 'epoch': 1.38}
{'loss': 0.3403, 'grad_norm': 4.2892746925354, 'learning_rate': 5.822222222222223e-06, 'mean_token_accuracy': 0.8635289907455445, 'epoch': 1.42}
{'loss': 0.3046, 'grad_norm': 4.093156337738037, 'learning_rate': 5.3777777777777784e-06, 'mean_token_accuracy': 0.8935888171195984, 'epoch': 1.47}
{'loss': 0.2368, 'grad_norm': 2.8801798820495605, 'learning_rate': 4.933333333333334e-06, 'mean_token_accuracy': 0.892953222990036, 'epoch': 1.51}
{'loss': 0.2666, 'grad_norm': 5.2892866134643555, 'learning_rate': 4.488888888888889e-06, 'mean_token_accuracy': 0.892252117395401, 'epoch': 1.56}
{'loss': 0.3344, 'grad_norm': 6.418694496154785, 'learning_rate': 4.044444444444445e-06, 'mean_token_accuracy': 0.8675494313240051, 'epoch': 1.6}
