  0%|          | 0/688 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                 
{'loss': 1.7543, 'grad_norm': 16.030141830444336, 'learning_rate': 1.9738372093023256e-05, 'mean_token_accuracy': 0.589125144481659, 'epoch': 0.03}
{'loss': 1.5397, 'grad_norm': 12.482282638549805, 'learning_rate': 1.944767441860465e-05, 'mean_token_accuracy': 0.6225369930267334, 'epoch': 0.06}
{'loss': 1.4501, 'grad_norm': 14.022417068481445, 'learning_rate': 1.9156976744186048e-05, 'mean_token_accuracy': 0.6270579159259796, 'epoch': 0.09}
{'loss': 1.33, 'grad_norm': 14.407454490661621, 'learning_rate': 1.8866279069767443e-05, 'mean_token_accuracy': 0.6235114097595215, 'epoch': 0.12}
{'loss': 1.1565, 'grad_norm': 12.06403923034668, 'learning_rate': 1.8575581395348837e-05, 'mean_token_accuracy': 0.6658815324306488, 'epoch': 0.15}
{'loss': 1.1752, 'grad_norm': 9.296249389648438, 'learning_rate': 1.8284883720930235e-05, 'mean_token_accuracy': 0.6599984109401703, 'epoch': 0.17}
{'loss': 1.1648, 'grad_norm': 11.725525856018066, 'learning_rate': 1.799418604651163e-05, 'mean_token_accuracy': 0.6686060428619385, 'epoch': 0.2}
{'loss': 1.127, 'grad_norm': 7.042477607727051, 'learning_rate': 1.7703488372093023e-05, 'mean_token_accuracy': 0.68092120885849, 'epoch': 0.23}
{'loss': 0.9739, 'grad_norm': 5.810275554656982, 'learning_rate': 1.741279069767442e-05, 'mean_token_accuracy': 0.699661237001419, 'epoch': 0.26}
{'loss': 0.9575, 'grad_norm': 9.477176666259766, 'learning_rate': 1.7122093023255816e-05, 'mean_token_accuracy': 0.7153857827186585, 'epoch': 0.29}
{'loss': 0.9344, 'grad_norm': 6.678157806396484, 'learning_rate': 1.6831395348837213e-05, 'mean_token_accuracy': 0.7051176846027374, 'epoch': 0.32}
{'loss': 0.9506, 'grad_norm': 6.853743553161621, 'learning_rate': 1.6540697674418608e-05, 'mean_token_accuracy': 0.7021383464336395, 'epoch': 0.35}
{'loss': 1.0046, 'grad_norm': 11.496257781982422, 'learning_rate': 1.6250000000000002e-05, 'mean_token_accuracy': 0.6960377514362335, 'epoch': 0.38}
{'loss': 0.8286, 'grad_norm': 8.590119361877441, 'learning_rate': 1.5959302325581396e-05, 'mean_token_accuracy': 0.7332025110721588, 'epoch': 0.41}
{'loss': 0.863, 'grad_norm': 8.032671928405762, 'learning_rate': 1.566860465116279e-05, 'mean_token_accuracy': 0.7213232636451721, 'epoch': 0.44}
{'loss': 0.7617, 'grad_norm': 8.198412895202637, 'learning_rate': 1.537790697674419e-05, 'mean_token_accuracy': 0.7549662292003632, 'epoch': 0.47}
{'loss': 0.7663, 'grad_norm': 5.48873233795166, 'learning_rate': 1.5087209302325583e-05, 'mean_token_accuracy': 0.7501541614532471, 'epoch': 0.49}
{'loss': 0.5945, 'grad_norm': 4.095544338226318, 'learning_rate': 1.4796511627906977e-05, 'mean_token_accuracy': 0.7825971961021423, 'epoch': 0.52}
{'loss': 0.7948, 'grad_norm': 6.316422462463379, 'learning_rate': 1.4505813953488373e-05, 'mean_token_accuracy': 0.7282900154590607, 'epoch': 0.55}
{'loss': 0.7687, 'grad_norm': 21.525936126708984, 'learning_rate': 1.421511627906977e-05, 'mean_token_accuracy': 0.751267671585083, 'epoch': 0.58}
{'loss': 0.581, 'grad_norm': 9.051350593566895, 'learning_rate': 1.3924418604651164e-05, 'mean_token_accuracy': 0.8035914361476898, 'epoch': 0.61}
{'loss': 0.7668, 'grad_norm': 5.64897346496582, 'learning_rate': 1.363372093023256e-05, 'mean_token_accuracy': 0.7329271614551545, 'epoch': 0.64}
{'loss': 0.6192, 'grad_norm': 6.459551811218262, 'learning_rate': 1.3343023255813954e-05, 'mean_token_accuracy': 0.7884643137454986, 'epoch': 0.67}
{'loss': 0.5886, 'grad_norm': 7.46046257019043, 'learning_rate': 1.3052325581395352e-05, 'mean_token_accuracy': 0.7855804920196533, 'epoch': 0.7}
{'loss': 0.6606, 'grad_norm': 4.51264762878418, 'learning_rate': 1.2761627906976746e-05, 'mean_token_accuracy': 0.7753965973854064, 'epoch': 0.73}
{'loss': 0.6592, 'grad_norm': 4.659910678863525, 'learning_rate': 1.247093023255814e-05, 'mean_token_accuracy': 0.7878368079662323, 'epoch': 0.76}
{'loss': 0.5063, 'grad_norm': 5.355027675628662, 'learning_rate': 1.2180232558139535e-05, 'mean_token_accuracy': 0.8170560836791992, 'epoch': 0.78}
{'loss': 0.5429, 'grad_norm': 4.816521644592285, 'learning_rate': 1.188953488372093e-05, 'mean_token_accuracy': 0.808944582939148, 'epoch': 0.81}
{'loss': 0.5051, 'grad_norm': 4.659547805786133, 'learning_rate': 1.1598837209302327e-05, 'mean_token_accuracy': 0.8108879268169403, 'epoch': 0.84}
{'loss': 0.5518, 'grad_norm': 6.60494327545166, 'learning_rate': 1.1308139534883721e-05, 'mean_token_accuracy': 0.7914949893951416, 'epoch': 0.87}
{'loss': 0.6231, 'grad_norm': 7.848212242126465, 'learning_rate': 1.1017441860465117e-05, 'mean_token_accuracy': 0.7795694410800934, 'epoch': 0.9}
{'loss': 0.5901, 'grad_norm': 5.6906023025512695, 'learning_rate': 1.0726744186046512e-05, 'mean_token_accuracy': 0.7935109376907349, 'epoch': 0.93}
{'loss': 0.5273, 'grad_norm': 6.271668434143066, 'learning_rate': 1.043604651162791e-05, 'mean_token_accuracy': 0.8012727856636047, 'epoch': 0.96}
{'loss': 0.5972, 'grad_norm': 5.18000602722168, 'learning_rate': 1.0145348837209304e-05, 'mean_token_accuracy': 0.7906659483909607, 'epoch': 0.99}
{'loss': 0.5287, 'grad_norm': 7.741613864898682, 'learning_rate': 9.854651162790698e-06, 'mean_token_accuracy': 0.8253381013870239, 'epoch': 1.02}
{'loss': 0.4847, 'grad_norm': 4.338130950927734, 'learning_rate': 9.563953488372094e-06, 'mean_token_accuracy': 0.822336620092392, 'epoch': 1.05}
{'loss': 0.5138, 'grad_norm': 10.20453929901123, 'learning_rate': 9.273255813953488e-06, 'mean_token_accuracy': 0.8184799492359162, 'epoch': 1.08}
{'loss': 0.4387, 'grad_norm': 6.346243381500244, 'learning_rate': 8.982558139534884e-06, 'mean_token_accuracy': 0.8441526710987091, 'epoch': 1.1}
{'loss': 0.3739, 'grad_norm': 4.964370250701904, 'learning_rate': 8.69186046511628e-06, 'mean_token_accuracy': 0.8673435688018799, 'epoch': 1.13}
{'loss': 0.2936, 'grad_norm': 5.8481669425964355, 'learning_rate': 8.401162790697675e-06, 'mean_token_accuracy': 0.8921561956405639, 'epoch': 1.16}
{'loss': 0.3556, 'grad_norm': 5.219968318939209, 'learning_rate': 8.110465116279071e-06, 'mean_token_accuracy': 0.8629029870033265, 'epoch': 1.19}
{'loss': 0.3774, 'grad_norm': 5.820158958435059, 'learning_rate': 7.819767441860465e-06, 'mean_token_accuracy': 0.8628363370895386, 'epoch': 1.22}
{'loss': 0.365, 'grad_norm': 3.7577197551727295, 'learning_rate': 7.529069767441861e-06, 'mean_token_accuracy': 0.8594546794891358, 'epoch': 1.25}
