  0%|          | 0/1371 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                    
{'loss': 1.683, 'grad_norm': 27.514755249023438, 'learning_rate': 1.986870897155361e-05, 'mean_token_accuracy': 0.633364325761795, 'epoch': 0.02}
{'loss': 1.3776, 'grad_norm': 27.86334800720215, 'learning_rate': 1.9722830051057624e-05, 'mean_token_accuracy': 0.6494097530841827, 'epoch': 0.04}
{'loss': 1.4115, 'grad_norm': 23.122385025024414, 'learning_rate': 1.9576951130561633e-05, 'mean_token_accuracy': 0.632798719406128, 'epoch': 0.07}
{'loss': 1.2655, 'grad_norm': 17.42137336730957, 'learning_rate': 1.9431072210065646e-05, 'mean_token_accuracy': 0.6465311884880066, 'epoch': 0.09}
{'loss': 1.2585, 'grad_norm': 15.210954666137695, 'learning_rate': 1.928519328956966e-05, 'mean_token_accuracy': 0.6545113325119019, 'epoch': 0.11}
{'loss': 1.2912, 'grad_norm': 20.40095329284668, 'learning_rate': 1.9139314369073668e-05, 'mean_token_accuracy': 0.6423688471317291, 'epoch': 0.13}
{'loss': 1.1995, 'grad_norm': 19.422075271606445, 'learning_rate': 1.899343544857768e-05, 'mean_token_accuracy': 0.6585155606269837, 'epoch': 0.15}
{'loss': 1.0818, 'grad_norm': 15.492521286010742, 'learning_rate': 1.8847556528081693e-05, 'mean_token_accuracy': 0.6829145729541779, 'epoch': 0.18}
{'loss': 1.1882, 'grad_norm': 15.146904945373535, 'learning_rate': 1.8701677607585706e-05, 'mean_token_accuracy': 0.6619955658912658, 'epoch': 0.2}
{'loss': 1.091, 'grad_norm': 10.76921272277832, 'learning_rate': 1.8555798687089715e-05, 'mean_token_accuracy': 0.6728225409984588, 'epoch': 0.22}
{'loss': 1.0511, 'grad_norm': 19.797502517700195, 'learning_rate': 1.8409919766593728e-05, 'mean_token_accuracy': 0.6789639949798584, 'epoch': 0.24}
{'loss': 1.0814, 'grad_norm': 14.96132755279541, 'learning_rate': 1.826404084609774e-05, 'mean_token_accuracy': 0.6897639155387878, 'epoch': 0.26}
{'loss': 1.115, 'grad_norm': 13.426779747009277, 'learning_rate': 1.811816192560175e-05, 'mean_token_accuracy': 0.6764458537101745, 'epoch': 0.28}
{'loss': 1.0696, 'grad_norm': 14.646350860595703, 'learning_rate': 1.7972283005105763e-05, 'mean_token_accuracy': 0.67240229845047, 'epoch': 0.31}
{'loss': 1.1195, 'grad_norm': 14.004444122314453, 'learning_rate': 1.7826404084609776e-05, 'mean_token_accuracy': 0.6671216905117034, 'epoch': 0.33}
{'loss': 1.0567, 'grad_norm': 24.429616928100586, 'learning_rate': 1.7680525164113785e-05, 'mean_token_accuracy': 0.6959576189517975, 'epoch': 0.35}
{'loss': 1.0075, 'grad_norm': 10.105696678161621, 'learning_rate': 1.7534646243617798e-05, 'mean_token_accuracy': 0.6900565087795257, 'epoch': 0.37}
{'loss': 1.0375, 'grad_norm': 14.632256507873535, 'learning_rate': 1.738876732312181e-05, 'mean_token_accuracy': 0.6814758479595184, 'epoch': 0.39}
{'loss': 0.9509, 'grad_norm': 12.554606437683105, 'learning_rate': 1.724288840262582e-05, 'mean_token_accuracy': 0.6908744871616364, 'epoch': 0.42}
{'loss': 1.0107, 'grad_norm': 11.73245906829834, 'learning_rate': 1.7097009482129833e-05, 'mean_token_accuracy': 0.6954675257205963, 'epoch': 0.44}
{'loss': 1.0253, 'grad_norm': 8.98885440826416, 'learning_rate': 1.6951130561633845e-05, 'mean_token_accuracy': 0.6957883954048156, 'epoch': 0.46}
{'loss': 1.0312, 'grad_norm': 11.535486221313477, 'learning_rate': 1.6805251641137855e-05, 'mean_token_accuracy': 0.692766296863556, 'epoch': 0.48}
{'loss': 0.8734, 'grad_norm': 11.194634437561035, 'learning_rate': 1.6659372720641867e-05, 'mean_token_accuracy': 0.7185240149497986, 'epoch': 0.5}
{'loss': 0.8771, 'grad_norm': 8.752815246582031, 'learning_rate': 1.651349380014588e-05, 'mean_token_accuracy': 0.7227261066436768, 'epoch': 0.53}
{'loss': 0.9587, 'grad_norm': 10.84499454498291, 'learning_rate': 1.6367614879649893e-05, 'mean_token_accuracy': 0.7059739708900452, 'epoch': 0.55}
{'loss': 0.7805, 'grad_norm': 14.369390487670898, 'learning_rate': 1.6221735959153902e-05, 'mean_token_accuracy': 0.7264951646327973, 'epoch': 0.57}
{'loss': 0.9357, 'grad_norm': 13.277288436889648, 'learning_rate': 1.6075857038657915e-05, 'mean_token_accuracy': 0.7035581529140472, 'epoch': 0.59}
{'loss': 0.9536, 'grad_norm': 10.634541511535645, 'learning_rate': 1.5929978118161928e-05, 'mean_token_accuracy': 0.7220536828041076, 'epoch': 0.61}
{'loss': 0.8992, 'grad_norm': 7.496025085449219, 'learning_rate': 1.5784099197665937e-05, 'mean_token_accuracy': 0.7094510793685913, 'epoch': 0.63}
{'loss': 0.9138, 'grad_norm': 10.001605987548828, 'learning_rate': 1.563822027716995e-05, 'mean_token_accuracy': 0.7090683281421661, 'epoch': 0.66}
{'loss': 0.8304, 'grad_norm': 12.869029998779297, 'learning_rate': 1.5492341356673962e-05, 'mean_token_accuracy': 0.7379859566688538, 'epoch': 0.68}
{'loss': 0.7811, 'grad_norm': 8.595690727233887, 'learning_rate': 1.5346462436177972e-05, 'mean_token_accuracy': 0.7365693390369416, 'epoch': 0.7}
{'loss': 0.7307, 'grad_norm': 8.919474601745605, 'learning_rate': 1.5200583515681986e-05, 'mean_token_accuracy': 0.754991352558136, 'epoch': 0.72}
{'loss': 0.7878, 'grad_norm': 9.905508995056152, 'learning_rate': 1.5054704595185996e-05, 'mean_token_accuracy': 0.7555964350700378, 'epoch': 0.74}
{'loss': 0.7591, 'grad_norm': 11.828227043151855, 'learning_rate': 1.4908825674690008e-05, 'mean_token_accuracy': 0.7428765714168548, 'epoch': 0.77}
{'loss': 0.7557, 'grad_norm': 8.913910865783691, 'learning_rate': 1.4762946754194021e-05, 'mean_token_accuracy': 0.7558513939380646, 'epoch': 0.79}
{'loss': 0.6577, 'grad_norm': 9.10364055633545, 'learning_rate': 1.461706783369803e-05, 'mean_token_accuracy': 0.7790004551410675, 'epoch': 0.81}
{'loss': 0.705, 'grad_norm': 9.611224174499512, 'learning_rate': 1.4471188913202043e-05, 'mean_token_accuracy': 0.733876645565033, 'epoch': 0.83}
{'loss': 0.7061, 'grad_norm': 9.801156044006348, 'learning_rate': 1.4325309992706056e-05, 'mean_token_accuracy': 0.7609635472297669, 'epoch': 0.85}
{'loss': 0.6579, 'grad_norm': 6.819220542907715, 'learning_rate': 1.4179431072210065e-05, 'mean_token_accuracy': 0.7688819706439972, 'epoch': 0.88}
{'loss': 0.6686, 'grad_norm': 8.442062377929688, 'learning_rate': 1.4033552151714078e-05, 'mean_token_accuracy': 0.7489087522029877, 'epoch': 0.9}
{'loss': 0.6134, 'grad_norm': 7.523324489593506, 'learning_rate': 1.388767323121809e-05, 'mean_token_accuracy': 0.775338739156723, 'epoch': 0.92}
{'loss': 0.7725, 'grad_norm': 7.413852214813232, 'learning_rate': 1.37417943107221e-05, 'mean_token_accuracy': 0.7341734409332276, 'epoch': 0.94}
{'loss': 0.7726, 'grad_norm': 9.733323097229004, 'learning_rate': 1.3595915390226113e-05, 'mean_token_accuracy': 0.7386112093925477, 'epoch': 0.96}
{'loss': 0.7186, 'grad_norm': 9.849181175231934, 'learning_rate': 1.3450036469730125e-05, 'mean_token_accuracy': 0.7485967516899109, 'epoch': 0.98}
{'loss': 0.716, 'grad_norm': 12.007822036743164, 'learning_rate': 1.3304157549234137e-05, 'mean_token_accuracy': 0.7456648170948028, 'epoch': 1.01}
{'loss': 0.5932, 'grad_norm': 9.257264137268066, 'learning_rate': 1.3158278628738148e-05, 'mean_token_accuracy': 0.781626147031784, 'epoch': 1.03}
{'loss': 0.4835, 'grad_norm': 6.0534491539001465, 'learning_rate': 1.301239970824216e-05, 'mean_token_accuracy': 0.8232136964797974, 'epoch': 1.05}
{'loss': 0.5542, 'grad_norm': 10.248887062072754, 'learning_rate': 1.2866520787746171e-05, 'mean_token_accuracy': 0.8084846198558807, 'epoch': 1.07}
{'loss': 0.6157, 'grad_norm': 7.076423168182373, 'learning_rate': 1.2720641867250182e-05, 'mean_token_accuracy': 0.7807662963867188, 'epoch': 1.09}
{'loss': 0.5822, 'grad_norm': 9.262181282043457, 'learning_rate': 1.2574762946754195e-05, 'mean_token_accuracy': 0.7888265550136566, 'epoch': 1.12}
{'loss': 0.6111, 'grad_norm': 8.328752517700195, 'learning_rate': 1.2428884026258208e-05, 'mean_token_accuracy': 0.7984035611152649, 'epoch': 1.14}
{'loss': 0.5492, 'grad_norm': 7.888976097106934, 'learning_rate': 1.2283005105762217e-05, 'mean_token_accuracy': 0.8023084461688995, 'epoch': 1.16}
{'loss': 0.7181, 'grad_norm': 8.08151912689209, 'learning_rate': 1.213712618526623e-05, 'mean_token_accuracy': 0.7643955647945404, 'epoch': 1.18}
{'loss': 0.5728, 'grad_norm': 9.73592758178711, 'learning_rate': 1.1991247264770243e-05, 'mean_token_accuracy': 0.7939775943756103, 'epoch': 1.2}
{'loss': 0.5566, 'grad_norm': 4.312484264373779, 'learning_rate': 1.1845368344274254e-05, 'mean_token_accuracy': 0.8003551185131073, 'epoch': 1.23}
{'loss': 0.6346, 'grad_norm': 13.882877349853516, 'learning_rate': 1.1699489423778265e-05, 'mean_token_accuracy': 0.7858178794384003, 'epoch': 1.25}
{'loss': 0.588, 'grad_norm': 6.982999801635742, 'learning_rate': 1.1553610503282277e-05, 'mean_token_accuracy': 0.7969461500644683, 'epoch': 1.27}
{'loss': 0.4348, 'grad_norm': 10.847113609313965, 'learning_rate': 1.1407731582786288e-05, 'mean_token_accuracy': 0.8343198239803314, 'epoch': 1.29}
{'loss': 0.5235, 'grad_norm': 7.503708839416504, 'learning_rate': 1.12618526622903e-05, 'mean_token_accuracy': 0.80594602227211, 'epoch': 1.31}
{'loss': 0.4549, 'grad_norm': 8.053336143493652, 'learning_rate': 1.1115973741794312e-05, 'mean_token_accuracy': 0.8203294336795807, 'epoch': 1.33}
{'loss': 0.4347, 'grad_norm': 6.220359802246094, 'learning_rate': 1.0970094821298323e-05, 'mean_token_accuracy': 0.8198527812957763, 'epoch': 1.36}
{'loss': 0.5015, 'grad_norm': 7.32758903503418, 'learning_rate': 1.0824215900802334e-05, 'mean_token_accuracy': 0.8147860884666442, 'epoch': 1.38}
{'loss': 0.5388, 'grad_norm': 6.1924214363098145, 'learning_rate': 1.0678336980306347e-05, 'mean_token_accuracy': 0.8125898003578186, 'epoch': 1.4}
{'loss': 0.4936, 'grad_norm': 6.987415790557861, 'learning_rate': 1.0532458059810358e-05, 'mean_token_accuracy': 0.8179776132106781, 'epoch': 1.42}
{'loss': 0.4796, 'grad_norm': 7.701989650726318, 'learning_rate': 1.038657913931437e-05, 'mean_token_accuracy': 0.813984501361847, 'epoch': 1.44}
{'loss': 0.489, 'grad_norm': 7.148861408233643, 'learning_rate': 1.0240700218818382e-05, 'mean_token_accuracy': 0.8239833295345307, 'epoch': 1.47}
{'loss': 0.4491, 'grad_norm': 5.833947658538818, 'learning_rate': 1.0094821298322393e-05, 'mean_token_accuracy': 0.8057817399501801, 'epoch': 1.49}
{'loss': 0.4709, 'grad_norm': 4.176085472106934, 'learning_rate': 9.948942377826406e-06, 'mean_token_accuracy': 0.8248909413814545, 'epoch': 1.51}
{'loss': 0.3745, 'grad_norm': 5.658298015594482, 'learning_rate': 9.803063457330417e-06, 'mean_token_accuracy': 0.8709896087646485, 'epoch': 1.53}
{'loss': 0.4757, 'grad_norm': 7.52899694442749, 'learning_rate': 9.65718453683443e-06, 'mean_token_accuracy': 0.8179226279258728, 'epoch': 1.55}
{'loss': 0.4222, 'grad_norm': 6.3281474113464355, 'learning_rate': 9.51130561633844e-06, 'mean_token_accuracy': 0.8415848851203919, 'epoch': 1.58}
{'loss': 0.4589, 'grad_norm': 7.035989761352539, 'learning_rate': 9.365426695842451e-06, 'mean_token_accuracy': 0.8411801755428314, 'epoch': 1.6}
{'loss': 0.4041, 'grad_norm': 7.235901832580566, 'learning_rate': 9.219547775346464e-06, 'mean_token_accuracy': 0.840332978963852, 'epoch': 1.62}
{'loss': 0.4475, 'grad_norm': 5.949957847595215, 'learning_rate': 9.073668854850475e-06, 'mean_token_accuracy': 0.8314634323120117, 'epoch': 1.64}
{'loss': 0.3656, 'grad_norm': 11.647977828979492, 'learning_rate': 8.927789934354486e-06, 'mean_token_accuracy': 0.85862517952919, 'epoch': 1.66}
{'loss': 0.4197, 'grad_norm': 8.119840621948242, 'learning_rate': 8.781911013858499e-06, 'mean_token_accuracy': 0.8540272235870361, 'epoch': 1.68}
{'loss': 0.3861, 'grad_norm': 7.007341384887695, 'learning_rate': 8.63603209336251e-06, 'mean_token_accuracy': 0.8447784721851349, 'epoch': 1.71}
{'loss': 0.3919, 'grad_norm': 6.187478542327881, 'learning_rate': 8.490153172866521e-06, 'mean_token_accuracy': 0.8568291127681732, 'epoch': 1.73}
{'loss': 0.4459, 'grad_norm': 5.470980167388916, 'learning_rate': 8.344274252370534e-06, 'mean_token_accuracy': 0.8371069490909576, 'epoch': 1.75}
{'loss': 0.4475, 'grad_norm': 5.3983154296875, 'learning_rate': 8.198395331874545e-06, 'mean_token_accuracy': 0.8339333176612854, 'epoch': 1.77}
{'loss': 0.3451, 'grad_norm': 7.273083686828613, 'learning_rate': 8.052516411378558e-06, 'mean_token_accuracy': 0.8680871248245239, 'epoch': 1.79}
{'loss': 0.4029, 'grad_norm': 3.1619954109191895, 'learning_rate': 7.906637490882569e-06, 'mean_token_accuracy': 0.8483396351337433, 'epoch': 1.82}
{'loss': 0.311, 'grad_norm': 7.159632205963135, 'learning_rate': 7.76075857038658e-06, 'mean_token_accuracy': 0.8664229929447174, 'epoch': 1.84}
{'loss': 0.3024, 'grad_norm': 5.32028341293335, 'learning_rate': 7.6148796498905915e-06, 'mean_token_accuracy': 0.8736151874065399, 'epoch': 1.86}
{'loss': 0.3066, 'grad_norm': 6.72111701965332, 'learning_rate': 7.469000729394603e-06, 'mean_token_accuracy': 0.8920024394989013, 'epoch': 1.88}
{'loss': 0.3999, 'grad_norm': 6.179423809051514, 'learning_rate': 7.3231218088986144e-06, 'mean_token_accuracy': 0.8527799248695374, 'epoch': 1.9}
{'loss': 0.2575, 'grad_norm': 6.5954742431640625, 'learning_rate': 7.177242888402627e-06, 'mean_token_accuracy': 0.8973796904087067, 'epoch': 1.93}
{'loss': 0.4087, 'grad_norm': 8.16379451751709, 'learning_rate': 7.031363967906638e-06, 'mean_token_accuracy': 0.8489115953445434, 'epoch': 1.95}
{'loss': 0.4008, 'grad_norm': 4.329622745513916, 'learning_rate': 6.885485047410649e-06, 'mean_token_accuracy': 0.8621464014053345, 'epoch': 1.97}
{'loss': 0.3333, 'grad_norm': 3.0534019470214844, 'learning_rate': 6.739606126914662e-06, 'mean_token_accuracy': 0.8844176292419433, 'epoch': 1.99}
{'loss': 0.3167, 'grad_norm': 5.464243412017822, 'learning_rate': 6.593727206418673e-06, 'mean_token_accuracy': 0.8899987995624542, 'epoch': 2.01}
{'loss': 0.237, 'grad_norm': 5.129152297973633, 'learning_rate': 6.447848285922684e-06, 'mean_token_accuracy': 0.9063406229019165, 'epoch': 2.04}
{'loss': 0.3368, 'grad_norm': 5.8263325691223145, 'learning_rate': 6.301969365426697e-06, 'mean_token_accuracy': 0.8780233204364777, 'epoch': 2.06}
{'loss': 0.2358, 'grad_norm': 7.5579304695129395, 'learning_rate': 6.156090444930708e-06, 'mean_token_accuracy': 0.9165557384490967, 'epoch': 2.08}
{'loss': 0.2739, 'grad_norm': 4.350657939910889, 'learning_rate': 6.010211524434719e-06, 'mean_token_accuracy': 0.8943999230861663, 'epoch': 2.1}
{'loss': 0.2662, 'grad_norm': 5.364243030548096, 'learning_rate': 5.864332603938732e-06, 'mean_token_accuracy': 0.8981517195701599, 'epoch': 2.12}
{'loss': 0.2837, 'grad_norm': 5.562356472015381, 'learning_rate': 5.718453683442743e-06, 'mean_token_accuracy': 0.8902307689189911, 'epoch': 2.14}
{'loss': 0.2981, 'grad_norm': 5.178997039794922, 'learning_rate': 5.5725747629467545e-06, 'mean_token_accuracy': 0.8982417643070221, 'epoch': 2.17}
{'loss': 0.2586, 'grad_norm': 4.3473334312438965, 'learning_rate': 5.426695842450766e-06, 'mean_token_accuracy': 0.9026831686496735, 'epoch': 2.19}
{'loss': 0.2684, 'grad_norm': 6.955287456512451, 'learning_rate': 5.2808169219547774e-06, 'mean_token_accuracy': 0.9004009604454041, 'epoch': 2.21}
{'loss': 0.2166, 'grad_norm': 5.084617614746094, 'learning_rate': 5.13493800145879e-06, 'mean_token_accuracy': 0.9199856996536255, 'epoch': 2.23}
{'loss': 0.276, 'grad_norm': 5.741351127624512, 'learning_rate': 4.989059080962801e-06, 'mean_token_accuracy': 0.8932622075080872, 'epoch': 2.25}
{'loss': 0.2415, 'grad_norm': 5.662746429443359, 'learning_rate': 4.843180160466813e-06, 'mean_token_accuracy': 0.9029480755329132, 'epoch': 2.28}
{'loss': 0.2586, 'grad_norm': 2.8038580417633057, 'learning_rate': 4.697301239970825e-06, 'mean_token_accuracy': 0.9082204878330231, 'epoch': 2.3}
{'loss': 0.3053, 'grad_norm': 4.383853912353516, 'learning_rate': 4.551422319474836e-06, 'mean_token_accuracy': 0.8953927338123322, 'epoch': 2.32}
{'loss': 0.2906, 'grad_norm': 5.1605987548828125, 'learning_rate': 4.405543398978848e-06, 'mean_token_accuracy': 0.9077861070632934, 'epoch': 2.34}
{'loss': 0.1597, 'grad_norm': 5.532833099365234, 'learning_rate': 4.25966447848286e-06, 'mean_token_accuracy': 0.9368606805801392, 'epoch': 2.36}
{'loss': 0.2452, 'grad_norm': 5.7971296310424805, 'learning_rate': 4.113785557986872e-06, 'mean_token_accuracy': 0.9028259813785553, 'epoch': 2.39}
{'loss': 0.2481, 'grad_norm': 7.891099452972412, 'learning_rate': 3.9679066374908835e-06, 'mean_token_accuracy': 0.9100444316864014, 'epoch': 2.41}
{'loss': 0.1548, 'grad_norm': 3.372584104537964, 'learning_rate': 3.8220277169948946e-06, 'mean_token_accuracy': 0.9403881430625916, 'epoch': 2.43}
{'loss': 0.26, 'grad_norm': 5.06590461730957, 'learning_rate': 3.676148796498906e-06, 'mean_token_accuracy': 0.9041903555393219, 'epoch': 2.45}
{'loss': 0.1471, 'grad_norm': 6.6118669509887695, 'learning_rate': 3.530269876002918e-06, 'mean_token_accuracy': 0.9418918371200562, 'epoch': 2.47}
{'loss': 0.2615, 'grad_norm': 6.176934242248535, 'learning_rate': 3.3843909555069294e-06, 'mean_token_accuracy': 0.9203336715698243, 'epoch': 2.49}
{'loss': 0.1602, 'grad_norm': 3.2379343509674072, 'learning_rate': 3.2385120350109413e-06, 'mean_token_accuracy': 0.9381333708763122, 'epoch': 2.52}
{'loss': 0.2413, 'grad_norm': 6.057932376861572, 'learning_rate': 3.092633114514953e-06, 'mean_token_accuracy': 0.8930982649326324, 'epoch': 2.54}
{'loss': 0.1379, 'grad_norm': 5.53806734085083, 'learning_rate': 2.946754194018964e-06, 'mean_token_accuracy': 0.9455044329166412, 'epoch': 2.56}
{'loss': 0.2396, 'grad_norm': 3.1463210582733154, 'learning_rate': 2.800875273522976e-06, 'mean_token_accuracy': 0.9242080211639404, 'epoch': 2.58}
