  0%|          | 0/914 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                 
{'loss': 1.6442, 'grad_norm': 18.45976448059082, 'learning_rate': 1.9803063457330417e-05, 'mean_token_accuracy': 0.610189825296402, 'epoch': 0.02}
{'loss': 1.2909, 'grad_norm': 12.811619758605957, 'learning_rate': 1.9584245076586433e-05, 'mean_token_accuracy': 0.6472027182579041, 'epoch': 0.04}
{'loss': 1.1583, 'grad_norm': 8.773548126220703, 'learning_rate': 1.9365426695842452e-05, 'mean_token_accuracy': 0.671344131231308, 'epoch': 0.07}
{'loss': 1.1157, 'grad_norm': 8.325019836425781, 'learning_rate': 1.9146608315098468e-05, 'mean_token_accuracy': 0.67744220495224, 'epoch': 0.09}
{'loss': 1.1152, 'grad_norm': 10.550469398498535, 'learning_rate': 1.8927789934354487e-05, 'mean_token_accuracy': 0.6647276937961578, 'epoch': 0.11}
{'loss': 1.095, 'grad_norm': 8.81064224243164, 'learning_rate': 1.8708971553610503e-05, 'mean_token_accuracy': 0.6713624477386475, 'epoch': 0.13}
{'loss': 0.9884, 'grad_norm': 9.562190055847168, 'learning_rate': 1.8490153172866522e-05, 'mean_token_accuracy': 0.6759561061859131, 'epoch': 0.15}
{'loss': 1.061, 'grad_norm': 6.836075305938721, 'learning_rate': 1.8271334792122538e-05, 'mean_token_accuracy': 0.6799083054065704, 'epoch': 0.18}
{'loss': 1.0038, 'grad_norm': 13.742851257324219, 'learning_rate': 1.8052516411378557e-05, 'mean_token_accuracy': 0.6881046056747436, 'epoch': 0.2}
{'loss': 1.0641, 'grad_norm': 12.462296485900879, 'learning_rate': 1.7833698030634576e-05, 'mean_token_accuracy': 0.6726276755332947, 'epoch': 0.22}
{'loss': 0.9014, 'grad_norm': 6.730526447296143, 'learning_rate': 1.761487964989059e-05, 'mean_token_accuracy': 0.7043174922466278, 'epoch': 0.24}
{'loss': 0.9597, 'grad_norm': 7.2379913330078125, 'learning_rate': 1.739606126914661e-05, 'mean_token_accuracy': 0.6980999350547791, 'epoch': 0.26}
{'loss': 0.9265, 'grad_norm': 10.075279235839844, 'learning_rate': 1.7177242888402626e-05, 'mean_token_accuracy': 0.6907646417617798, 'epoch': 0.28}
{'loss': 0.8913, 'grad_norm': 14.987197875976562, 'learning_rate': 1.6958424507658645e-05, 'mean_token_accuracy': 0.7118781626224517, 'epoch': 0.31}
{'loss': 0.8535, 'grad_norm': 7.906546592712402, 'learning_rate': 1.673960612691466e-05, 'mean_token_accuracy': 0.7153423130512238, 'epoch': 0.33}
