  0%|          | 0/1371 [00:00<?, ?it/s]It is strongly recommended to train Gemma3 models with the `eager` attention implementation instead of `sdpa`. Use `eager` with `AutoModelForCausalLM.from_pretrained('<path-to-checkpoint>', attn_implementation='eager')`.
                                                    
{'loss': 1.8167, 'grad_norm': 18.738975524902344, 'learning_rate': 1.986870897155361e-05, 'mean_token_accuracy': 0.589447408914566, 'epoch': 0.02}
{'loss': 1.2913, 'grad_norm': 9.545015335083008, 'learning_rate': 1.9722830051057624e-05, 'mean_token_accuracy': 0.6462930500507355, 'epoch': 0.04}
{'loss': 1.2911, 'grad_norm': 8.436260223388672, 'learning_rate': 1.9576951130561633e-05, 'mean_token_accuracy': 0.6434511542320251, 'epoch': 0.07}
{'loss': 1.1543, 'grad_norm': 8.063983917236328, 'learning_rate': 1.9431072210065646e-05, 'mean_token_accuracy': 0.668062150478363, 'epoch': 0.09}
{'loss': 1.0941, 'grad_norm': 7.604357719421387, 'learning_rate': 1.928519328956966e-05, 'mean_token_accuracy': 0.6770934700965882, 'epoch': 0.11}
{'loss': 1.0198, 'grad_norm': 6.420731067657471, 'learning_rate': 1.9139314369073668e-05, 'mean_token_accuracy': 0.6789102494716645, 'epoch': 0.13}
{'loss': 1.0418, 'grad_norm': 5.678199768066406, 'learning_rate': 1.899343544857768e-05, 'mean_token_accuracy': 0.673586642742157, 'epoch': 0.15}
{'loss': 0.892, 'grad_norm': 5.447553634643555, 'learning_rate': 1.8847556528081693e-05, 'mean_token_accuracy': 0.7052791297435761, 'epoch': 0.18}
{'loss': 1.0873, 'grad_norm': 7.686306476593018, 'learning_rate': 1.8701677607585706e-05, 'mean_token_accuracy': 0.6675512671470643, 'epoch': 0.2}
{'loss': 0.9037, 'grad_norm': 5.4313836097717285, 'learning_rate': 1.8555798687089715e-05, 'mean_token_accuracy': 0.7014866828918457, 'epoch': 0.22}
{'loss': 0.9268, 'grad_norm': 5.320118427276611, 'learning_rate': 1.8409919766593728e-05, 'mean_token_accuracy': 0.6940336287021637, 'epoch': 0.24}
{'loss': 0.9006, 'grad_norm': 7.388942718505859, 'learning_rate': 1.826404084609774e-05, 'mean_token_accuracy': 0.7202175259590149, 'epoch': 0.26}
{'loss': 0.9192, 'grad_norm': 6.893194675445557, 'learning_rate': 1.811816192560175e-05, 'mean_token_accuracy': 0.6974307894706726, 'epoch': 0.28}
{'loss': 0.8939, 'grad_norm': 7.769321441650391, 'learning_rate': 1.7972283005105763e-05, 'mean_token_accuracy': 0.7128938734531403, 'epoch': 0.31}
{'loss': 0.9301, 'grad_norm': 6.9562225341796875, 'learning_rate': 1.7826404084609776e-05, 'mean_token_accuracy': 0.7083223164081573, 'epoch': 0.33}
{'loss': 0.775, 'grad_norm': 4.851559162139893, 'learning_rate': 1.7680525164113785e-05, 'mean_token_accuracy': 0.7341969072818756, 'epoch': 0.35}
{'loss': 0.8062, 'grad_norm': 5.579985618591309, 'learning_rate': 1.7534646243617798e-05, 'mean_token_accuracy': 0.7352446019649506, 'epoch': 0.37}
{'loss': 0.6963, 'grad_norm': 4.9873504638671875, 'learning_rate': 1.738876732312181e-05, 'mean_token_accuracy': 0.7466413021087647, 'epoch': 0.39}
{'loss': 0.7707, 'grad_norm': 4.4875288009643555, 'learning_rate': 1.724288840262582e-05, 'mean_token_accuracy': 0.7365240395069123, 'epoch': 0.42}
{'loss': 0.786, 'grad_norm': 7.168991565704346, 'learning_rate': 1.7097009482129833e-05, 'mean_token_accuracy': 0.7276128172874451, 'epoch': 0.44}
{'loss': 0.773, 'grad_norm': 10.877423286437988, 'learning_rate': 1.6951130561633845e-05, 'mean_token_accuracy': 0.7368871748447419, 'epoch': 0.46}
{'loss': 0.8237, 'grad_norm': 6.1761155128479, 'learning_rate': 1.6805251641137855e-05, 'mean_token_accuracy': 0.7136452794075012, 'epoch': 0.48}
{'loss': 0.7026, 'grad_norm': 3.8911046981811523, 'learning_rate': 1.6659372720641867e-05, 'mean_token_accuracy': 0.7556562960147858, 'epoch': 0.5}
{'loss': 0.6505, 'grad_norm': 5.438414573669434, 'learning_rate': 1.651349380014588e-05, 'mean_token_accuracy': 0.7791583657264709, 'epoch': 0.53}
{'loss': 0.6305, 'grad_norm': 4.121497631072998, 'learning_rate': 1.6367614879649893e-05, 'mean_token_accuracy': 0.7724335432052613, 'epoch': 0.55}
{'loss': 0.7269, 'grad_norm': 5.9507527351379395, 'learning_rate': 1.6221735959153902e-05, 'mean_token_accuracy': 0.7573988974094391, 'epoch': 0.57}
{'loss': 0.5638, 'grad_norm': 4.222660064697266, 'learning_rate': 1.6075857038657915e-05, 'mean_token_accuracy': 0.7893500626087189, 'epoch': 0.59}
{'loss': 0.5918, 'grad_norm': 4.493374347686768, 'learning_rate': 1.5929978118161928e-05, 'mean_token_accuracy': 0.7756499707698822, 'epoch': 0.61}
{'loss': 0.6452, 'grad_norm': 3.558339834213257, 'learning_rate': 1.5784099197665937e-05, 'mean_token_accuracy': 0.77017040848732, 'epoch': 0.63}
{'loss': 0.6537, 'grad_norm': 5.996341705322266, 'learning_rate': 1.563822027716995e-05, 'mean_token_accuracy': 0.7627748370170593, 'epoch': 0.66}
{'loss': 0.6874, 'grad_norm': 5.598774433135986, 'learning_rate': 1.5492341356673962e-05, 'mean_token_accuracy': 0.754581344127655, 'epoch': 0.68}
{'loss': 0.6853, 'grad_norm': 5.713188171386719, 'learning_rate': 1.5346462436177972e-05, 'mean_token_accuracy': 0.7543435513973236, 'epoch': 0.7}
{'loss': 0.5941, 'grad_norm': 6.510037422180176, 'learning_rate': 1.5200583515681986e-05, 'mean_token_accuracy': 0.7817320346832275, 'epoch': 0.72}
{'loss': 0.6183, 'grad_norm': 5.212527751922607, 'learning_rate': 1.5054704595185996e-05, 'mean_token_accuracy': 0.7760114669799805, 'epoch': 0.74}
{'loss': 0.5927, 'grad_norm': 7.540108680725098, 'learning_rate': 1.4908825674690008e-05, 'mean_token_accuracy': 0.7777050852775573, 'epoch': 0.77}
{'loss': 0.6886, 'grad_norm': 4.6371660232543945, 'learning_rate': 1.4762946754194021e-05, 'mean_token_accuracy': 0.7530546545982361, 'epoch': 0.79}
{'loss': 0.5806, 'grad_norm': 5.5760650634765625, 'learning_rate': 1.461706783369803e-05, 'mean_token_accuracy': 0.7955694973468781, 'epoch': 0.81}
