  0%|          | 0/914 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                   
{'loss': 1.8128, 'grad_norm': 0.0628979280591011, 'learning_rate': 1.9803063457330417e-05, 'mean_token_accuracy': 0.622370570898056, 'epoch': 0.02}
{'loss': 1.7987, 'grad_norm': 0.13734307885169983, 'learning_rate': 1.9584245076586433e-05, 'mean_token_accuracy': 0.6225030601024628, 'epoch': 0.04}
{'loss': 1.6612, 'grad_norm': 0.19167771935462952, 'learning_rate': 1.9365426695842452e-05, 'mean_token_accuracy': 0.6229895353317261, 'epoch': 0.07}
{'loss': 1.6807, 'grad_norm': 0.23699261248111725, 'learning_rate': 1.9146608315098468e-05, 'mean_token_accuracy': 0.6503418505191803, 'epoch': 0.09}
{'loss': 1.4394, 'grad_norm': 0.1739269644021988, 'learning_rate': 1.8927789934354487e-05, 'mean_token_accuracy': 0.6736603558063508, 'epoch': 0.11}
{'loss': 1.5086, 'grad_norm': 0.26619836688041687, 'learning_rate': 1.8708971553610503e-05, 'mean_token_accuracy': 0.6677917599678039, 'epoch': 0.13}
{'loss': 1.4785, 'grad_norm': 0.2992325723171234, 'learning_rate': 1.8490153172866522e-05, 'mean_token_accuracy': 0.6682782590389251, 'epoch': 0.15}
{'loss': 1.3661, 'grad_norm': 0.2557230591773987, 'learning_rate': 1.8271334792122538e-05, 'mean_token_accuracy': 0.6752023041248322, 'epoch': 0.18}
{'loss': 1.256, 'grad_norm': 0.4661243259906769, 'learning_rate': 1.8052516411378557e-05, 'mean_token_accuracy': 0.6874665796756745, 'epoch': 0.2}
{'loss': 1.2492, 'grad_norm': 0.4170156717300415, 'learning_rate': 1.7833698030634576e-05, 'mean_token_accuracy': 0.688739013671875, 'epoch': 0.22}
{'loss': 1.2535, 'grad_norm': 0.49227896332740784, 'learning_rate': 1.761487964989059e-05, 'mean_token_accuracy': 0.6878919422626495, 'epoch': 0.24}
{'loss': 1.2374, 'grad_norm': 0.4269254207611084, 'learning_rate': 1.739606126914661e-05, 'mean_token_accuracy': 0.6758205890655518, 'epoch': 0.26}
{'loss': 1.2011, 'grad_norm': 0.38947856426239014, 'learning_rate': 1.7177242888402626e-05, 'mean_token_accuracy': 0.6841147065162658, 'epoch': 0.28}
{'loss': 1.1583, 'grad_norm': 0.48666998744010925, 'learning_rate': 1.6958424507658645e-05, 'mean_token_accuracy': 0.6974147975444793, 'epoch': 0.31}
{'loss': 1.1571, 'grad_norm': 0.34142500162124634, 'learning_rate': 1.673960612691466e-05, 'mean_token_accuracy': 0.6859741985797883, 'epoch': 0.33}
{'loss': 1.1593, 'grad_norm': 0.45171138644218445, 'learning_rate': 1.652078774617068e-05, 'mean_token_accuracy': 0.6907000243663788, 'epoch': 0.35}
{'loss': 1.163, 'grad_norm': 0.4674470126628876, 'learning_rate': 1.6301969365426696e-05, 'mean_token_accuracy': 0.6807855665683746, 'epoch': 0.37}
{'loss': 1.0774, 'grad_norm': 0.562017560005188, 'learning_rate': 1.6083150984682715e-05, 'mean_token_accuracy': 0.6968674242496491, 'epoch': 0.39}
{'loss': 1.0729, 'grad_norm': 0.5688766241073608, 'learning_rate': 1.5864332603938734e-05, 'mean_token_accuracy': 0.7010806500911713, 'epoch': 0.42}
