                                                    
{'loss': 2.0437, 'grad_norm': 5.382758617401123, 'learning_rate': 1.986870897155361e-05, 'mean_token_accuracy': 0.555700597167015, 'epoch': 0.02}
{'loss': 1.3842, 'grad_norm': 4.529806613922119, 'learning_rate': 1.9722830051057624e-05, 'mean_token_accuracy': 0.634249234199524, 'epoch': 0.04}
{'loss': 1.2462, 'grad_norm': 3.5414083003997803, 'learning_rate': 1.9576951130561633e-05, 'mean_token_accuracy': 0.6509881913661957, 'epoch': 0.07}
{'loss': 1.1326, 'grad_norm': 4.110135078430176, 'learning_rate': 1.9431072210065646e-05, 'mean_token_accuracy': 0.6680787205696106, 'epoch': 0.09}
{'loss': 1.1591, 'grad_norm': 3.555047035217285, 'learning_rate': 1.928519328956966e-05, 'mean_token_accuracy': 0.6629588186740876, 'epoch': 0.11}
{'loss': 1.108, 'grad_norm': 3.484879493713379, 'learning_rate': 1.9139314369073668e-05, 'mean_token_accuracy': 0.6781331837177277, 'epoch': 0.13}
{'loss': 0.98, 'grad_norm': 2.5698068141937256, 'learning_rate': 1.899343544857768e-05, 'mean_token_accuracy': 0.6835044980049133, 'epoch': 0.15}
{'loss': 0.9983, 'grad_norm': 3.5361993312835693, 'learning_rate': 1.8847556528081693e-05, 'mean_token_accuracy': 0.6950165808200837, 'epoch': 0.18}
{'loss': 0.8831, 'grad_norm': 3.3110299110412598, 'learning_rate': 1.8701677607585706e-05, 'mean_token_accuracy': 0.7072569727897644, 'epoch': 0.2}
{'loss': 0.8791, 'grad_norm': 2.7502694129943848, 'learning_rate': 1.8555798687089715e-05, 'mean_token_accuracy': 0.7133344352245331, 'epoch': 0.22}
{'loss': 0.8489, 'grad_norm': 2.5436809062957764, 'learning_rate': 1.8409919766593728e-05, 'mean_token_accuracy': 0.7217295289039611, 'epoch': 0.24}
{'loss': 0.8023, 'grad_norm': 3.1491379737854004, 'learning_rate': 1.826404084609774e-05, 'mean_token_accuracy': 0.7245019733905792, 'epoch': 0.26}
