  0%|          | 0/2373 [00:00<?, ?it/s]It is strongly recommended to train Gemma3 models with the `eager` attention implementation instead of `sdpa`. Use `eager` with `AutoModelForCausalLM.from_pretrained('<path-to-checkpoint>', attn_implementation='eager')`.
                                                     
{'loss': 1.7467, 'grad_norm': 15.359177589416504, 'learning_rate': 1.992414664981037e-05, 'mean_token_accuracy': 0.587486743927002, 'epoch': 0.01}
{'loss': 1.285, 'grad_norm': 13.573575019836426, 'learning_rate': 1.9839865149599663e-05, 'mean_token_accuracy': 0.6236182868480682, 'epoch': 0.03}
{'loss': 1.231, 'grad_norm': 7.702643871307373, 'learning_rate': 1.975558364938896e-05, 'mean_token_accuracy': 0.6240528464317322, 'epoch': 0.04}
{'loss': 1.1431, 'grad_norm': 5.9002885818481445, 'learning_rate': 1.9671302149178258e-05, 'mean_token_accuracy': 0.6313328683376312, 'epoch': 0.05}
{'loss': 1.1556, 'grad_norm': 8.67549991607666, 'learning_rate': 1.9587020648967552e-05, 'mean_token_accuracy': 0.6385250508785247, 'epoch': 0.06}
{'loss': 1.1506, 'grad_norm': 5.32946252822876, 'learning_rate': 1.950273914875685e-05, 'mean_token_accuracy': 0.623712009191513, 'epoch': 0.08}
{'loss': 1.0995, 'grad_norm': 7.158333778381348, 'learning_rate': 1.9418457648546144e-05, 'mean_token_accuracy': 0.6382963061332703, 'epoch': 0.09}
{'loss': 0.8819, 'grad_norm': 6.536911487579346, 'learning_rate': 1.9334176148335442e-05, 'mean_token_accuracy': 0.6486652672290802, 'epoch': 0.1}
{'loss': 1.0631, 'grad_norm': 5.031553268432617, 'learning_rate': 1.924989464812474e-05, 'mean_token_accuracy': 0.6467504978179932, 'epoch': 0.11}
{'loss': 1.06, 'grad_norm': 5.866349220275879, 'learning_rate': 1.9165613147914034e-05, 'mean_token_accuracy': 0.6536789119243622, 'epoch': 0.13}
{'loss': 1.1828, 'grad_norm': 6.7368855476379395, 'learning_rate': 1.908133164770333e-05, 'mean_token_accuracy': 0.6349331736564636, 'epoch': 0.14}
{'loss': 1.1088, 'grad_norm': 5.412444114685059, 'learning_rate': 1.8997050147492625e-05, 'mean_token_accuracy': 0.6381051063537597, 'epoch': 0.15}
{'loss': 0.9701, 'grad_norm': 5.784854888916016, 'learning_rate': 1.8912768647281923e-05, 'mean_token_accuracy': 0.6603349804878235, 'epoch': 0.16}
{'loss': 0.9575, 'grad_norm': 6.312442302703857, 'learning_rate': 1.882848714707122e-05, 'mean_token_accuracy': 0.6587381482124328, 'epoch': 0.18}
{'loss': 1.0022, 'grad_norm': 5.579225540161133, 'learning_rate': 1.8744205646860515e-05, 'mean_token_accuracy': 0.643428361415863, 'epoch': 0.19}
{'loss': 0.8877, 'grad_norm': 4.263190269470215, 'learning_rate': 1.8659924146649812e-05, 'mean_token_accuracy': 0.6586837947368622, 'epoch': 0.2}
{'loss': 1.0438, 'grad_norm': 5.157389163970947, 'learning_rate': 1.8575642646439107e-05, 'mean_token_accuracy': 0.6532948195934296, 'epoch': 0.21}
{'loss': 1.0036, 'grad_norm': 5.26113748550415, 'learning_rate': 1.8491361146228404e-05, 'mean_token_accuracy': 0.6623306334018707, 'epoch': 0.23}
{'loss': 0.9285, 'grad_norm': 5.562743663787842, 'learning_rate': 1.8407079646017702e-05, 'mean_token_accuracy': 0.679583090543747, 'epoch': 0.24}
{'loss': 0.8834, 'grad_norm': 5.752400875091553, 'learning_rate': 1.8322798145806996e-05, 'mean_token_accuracy': 0.6708521366119384, 'epoch': 0.25}
